name,type,number,id
"CONGRESSIONAL DISTRICT 01","Congressional District",01,99224
"CONGRESSIONAL DISTRICT 02","Congressional District",02,9973
"CONGRESSIONAL DISTRICT 03","Congressional District",03,99161
"CONGRESSIONAL DISTRICT 04","Congressional District",04,99225
"CONGRESSIONAL DISTRICT 05","Congressional District",05,993
"COUNTY AT-LARGE DISTRICT","County",01,99258
"COUNTY AT-LARGE DISTRICT","County",02,99259
"COUNTY AT-LARGE DISTRICT","County",03,99260
"COUNTY AT-LARGE DISTRICT","County",04,99261
"COUNTY AT-LARGE DISTRICT","County",05,99262
"COUNTY AT-LARGE DISTRICT","County",06,99263
"COUNTY AT-LARGE DISTRICT","County",07,99264
"COUNTY AT-LARGE DISTRICT","County",08,99265
"COUNTY AT-LARGE DISTRICT","County",09,99266
"COUNTY AT-LARGE DISTRICT","County",10,99267
"COUNTY AT-LARGE DISTRICT","County",11,99268
"COUNTY AT-LARGE DISTRICT","County",12,99269
"COUNTY AT-LARGE DISTRICT","County",13,99270
"COUNTY AT-LARGE DISTRICT","County",14,99271
"COUNTY AT-LARGE DISTRICT","County",15,99272
"COUNTY AT-LARGE DISTRICT","County",16,99273
"COUNTY AT-LARGE DISTRICT","County",17,99274
"COUNTY AT-LARGE DISTRICT","County",18,99275
"COUNTY AT-LARGE DISTRICT","County",19,99276
"COUNTY AT-LARGE DISTRICT","County",20,99277
"COUNTY AT-LARGE DISTRICT","County",21,99278
"COUNTY AT-LARGE DISTRICT","County",22,99279
"COUNTY AT-LARGE DISTRICT","County",23,99280
"COUNTY AT-LARGE DISTRICT","County",24,99281
"COUNTY AT-LARGE DISTRICT","County",25,99282
"COUNTY AT-LARGE DISTRICT","County",26,99283
"COUNTY AT-LARGE DISTRICT","County",27,99284
"COUNTY AT-LARGE DISTRICT","County",28,99285
"COUNTY AT-LARGE DISTRICT","County",29,99286
"COUNTY AT-LARGE DISTRICT","County",30,99287
"COUNTY AT-LARGE DISTRICT","County",31,99288
"COUNTY AT-LARGE DISTRICT","County",32,99289
"COUNTY AT-LARGE DISTRICT","County",33,99290
"COUNTY AT-LARGE DISTRICT","County",34,99291
"COUNTY AT-LARGE DISTRICT","County",35,99292
"COUNTY AT-LARGE DISTRICT","County",36,99293
"COUNTY AT-LARGE DISTRICT","County",37,99294
"COUNTY AT-LARGE DISTRICT","County",38,99295
"COUNTY AT-LARGE DISTRICT","County",39,99296
"COUNTY AT-LARGE DISTRICT","County",40,99297
"COUNTY AT-LARGE DISTRICT","County",41,99298
"COUNTY AT-LARGE DISTRICT","County",42,99299
"COUNTY AT-LARGE DISTRICT","County",43,99300
"COUNTY AT-LARGE DISTRICT","County",44,99301
"COUNTY AT-LARGE DISTRICT","County",45,99302
"COUNTY AT-LARGE DISTRICT","County",46,99303
"COUNTY AT-LARGE DISTRICT","County",47,99304
"COUNTY AT-LARGE DISTRICT","County",48,99305
"COUNTY AT-LARGE DISTRICT","County",49,99306
"COUNTY AT-LARGE DISTRICT","County",50,99307
"COUNTY AT-LARGE DISTRICT","County",51,99308
"COUNTY AT-LARGE DISTRICT","County",52,99309
"COUNTY AT-LARGE DISTRICT","County",53,99310
"COUNTY AT-LARGE DISTRICT","County",54,99311
"COUNTY AT-LARGE DISTRICT","County",55,99312
"COUNTY AT-LARGE DISTRICT","County",56,99313
"COUNTY AT-LARGE DISTRICT","County",57,99314
"COUNTY AT-LARGE DISTRICT","County",58,99315
"COUNTY AT-LARGE DISTRICT","County",59,99316
"COUNTY AT-LARGE DISTRICT","County",60,99317
"COUNTY AT-LARGE DISTRICT","County",61,99318
"COUNTY AT-LARGE DISTRICT","County",62,99319
"COUNTY AT-LARGE DISTRICT","County",63,99320
"COUNTY AT-LARGE DISTRICT","County",64,99321
"COUNTY AT-LARGE DISTRICT","County",65,99322
"COUNTY AT-LARGE DISTRICT","County",66,99323
"COUNTY AT-LARGE DISTRICT","County",67,99324
"COUNTY AT-LARGE DISTRICT","County",68,99325
"COUNTY AT-LARGE DISTRICT","County",69,99326
"COUNTY AT-LARGE DISTRICT","County",70,99327
"COUNTY AT-LARGE DISTRICT","County",71,99328
"COUNTY AT-LARGE DISTRICT","County",72,99329
"COUNTY AT-LARGE DISTRICT","County",73,99330
"COUNTY AT-LARGE DISTRICT","County",74,99331
"COUNTY AT-LARGE DISTRICT","County",75,99332
"COUNTY AT-LARGE DISTRICT","County",76,99333
"COUNTY AT-LARGE DISTRICT","County",77,99334
"COUNTY COMMISSIONER 01","County Commissioner",01,99470
"COUNTY COMMISSIONER 01","County Commissioner",01,99471
"COUNTY COMMISSIONER 01","County Commissioner",01,99472
"COUNTY COMMISSIONER 01","County Commissioner",01,99473
"COUNTY COMMISSIONER 01","County Commissioner",01,99474
"COUNTY COMMISSIONER 01","County Commissioner",01,99475
"COUNTY COMMISSIONER 01","County Commissioner",01,99476
"COUNTY COMMISSIONER 01","County Commissioner",01,99477
"COUNTY COMMISSIONER 01","County Commissioner",01,99478
"COUNTY COMMISSIONER 01","County Commissioner",01,99479
"COUNTY COMMISSIONER 01","County Commissioner",01,99503
"COUNTY COMMISSIONER 01","County Commissioner",01,99504
"COUNTY COMMISSIONER 01","County Commissioner",01,99511
"COUNTY COMMISSIONER 01","County Commissioner",01,99512
"COUNTY COMMISSIONER 01","County Commissioner",01,99515
"COUNTY COMMISSIONER 01","County Commissioner",01,99519
"COUNTY COMMISSIONER 01","County Commissioner",01,99520
"COUNTY COMMISSIONER 01","County Commissioner",01,99521
"COUNTY COMMISSIONER 01","County Commissioner",01,99522
"COUNTY COMMISSIONER 01","County Commissioner",01,99524
"COUNTY COMMISSIONER 01","County Commissioner",01,99528
"COUNTY COMMISSIONER 01","County Commissioner",01,99531
"COUNTY COMMISSIONER 01","County Commissioner",01,99533
"COUNTY COMMISSIONER 01","County Commissioner",01,99534
"COUNTY COMMISSIONER 01","County Commissioner",01,99535
"COUNTY COMMISSIONER 01","County Commissioner",01,99536
"COUNTY COMMISSIONER 01","County Commissioner",01,99559
"COUNTY COMMISSIONER 01","County Commissioner",01,99563
"COUNTY COMMISSIONER 01","County Commissioner",01,99428
"COUNTY COMMISSIONER 01","County Commissioner",01,99429
"COUNTY COMMISSIONER 01","County Commissioner",01,99430
"COUNTY COMMISSIONER 01","County Commissioner",01,99431
"COUNTY COMMISSIONER 01","County Commissioner",01,99432
"COUNTY COMMISSIONER 01","County Commissioner",01,99433
"COUNTY COMMISSIONER 01","County Commissioner",01,99434
"COUNTY COMMISSIONER 01","County Commissioner",01,99435
"COUNTY COMMISSIONER 01","County Commissioner",01,99436
"COUNTY COMMISSIONER 01","County Commissioner",01,99437
"COUNTY COMMISSIONER 01","County Commissioner",01,99438
"COUNTY COMMISSIONER 01","County Commissioner",01,99439
"COUNTY COMMISSIONER 01","County Commissioner",01,99440
"COUNTY COMMISSIONER 01","County Commissioner",01,99441
"COUNTY COMMISSIONER 01","County Commissioner",01,99442
"COUNTY COMMISSIONER 01","County Commissioner",01,99443
"COUNTY COMMISSIONER 01","County Commissioner",01,99444
"COUNTY COMMISSIONER 01","County Commissioner",01,99445
"COUNTY COMMISSIONER 01","County Commissioner",01,99446
"COUNTY COMMISSIONER 01","County Commissioner",01,99447
"COUNTY COMMISSIONER 01","County Commissioner",01,99448
"COUNTY COMMISSIONER 01","County Commissioner",01,99449
"COUNTY COMMISSIONER 01","County Commissioner",01,99463
"COUNTY COMMISSIONER 01","County Commissioner",01,99464
"COUNTY COMMISSIONER 01","County Commissioner",01,99465
"COUNTY COMMISSIONER 01","County Commissioner",01,99466
"COUNTY COMMISSIONER 01","County Commissioner",01,99467
"COUNTY COMMISSIONER 01","County Commissioner",01,99468
"COUNTY COMMISSIONER 01","County Commissioner",01,99469
"COUNTY COMMISSIONER 01","County Commissioner",01,99450
"COUNTY COMMISSIONER 01","County Commissioner",01,99451
"COUNTY COMMISSIONER 01","County Commissioner",01,99452
"COUNTY COMMISSIONER 01","County Commissioner",01,99453
"COUNTY COMMISSIONER 01","County Commissioner",01,99454
"COUNTY COMMISSIONER 01","County Commissioner",01,99455
"COUNTY COMMISSIONER 01","County Commissioner",01,99456
"COUNTY COMMISSIONER 01","County Commissioner",01,99457
"COUNTY COMMISSIONER 01","County Commissioner",01,99458
"COUNTY COMMISSIONER 01","County Commissioner",01,99459
"COUNTY COMMISSIONER 01","County Commissioner",01,99460
"COUNTY COMMISSIONER 01","County Commissioner",01,99461
"COUNTY COMMISSIONER 01","County Commissioner",01,99462
"COUNTY COMMISSIONER 01","County Commissioner",01,99539
"COUNTY COMMISSIONER 01","County Commissioner",01,99546
"COUNTY COMMISSIONER 01","County Commissioner",01,99548
"COUNTY COMMISSIONER 01","County Commissioner",01,99550
"COUNTY COMMISSIONER 01","County Commissioner",01,99552
"COUNTY COMMISSIONER 01","County Commissioner",01,99554
"COUNTY COMMISSIONER 01","County Commissioner",01,99558
"COUNTY COMMISSIONER 03","County Commissioner",03,99415
"COUNTY COMMISSIONER 03","County Commissioner",03,99416
"COUNTY COMMISSIONER 03","County Commissioner",03,99417
"COUNTY COMMISSIONER 03","County Commissioner",03,99418
"COUNTY COMMISSIONER 03","County Commissioner",03,99419
"COUNTY COMMISSIONER 03","County Commissioner",03,99420
"COUNTY COMMISSIONER 03","County Commissioner",03,99421
"COUNTY COMMISSIONER 03","County Commissioner",03,99422
"COUNTY COMMISSIONER 03","County Commissioner",03,99423
"COUNTY COMMISSIONER 03","County Commissioner",03,99424
"COUNTY COMMISSIONER 03","County Commissioner",03,99425
"COUNTY COMMISSIONER 03","County Commissioner",03,99426
"COUNTY COMMISSIONER 03","County Commissioner",03,99427
"COUNTY COMMISSIONER 03","County Commissioner",03,99374
"COUNTY COMMISSIONER 03","County Commissioner",03,99375
"COUNTY COMMISSIONER 03","County Commissioner",03,99376
"COUNTY COMMISSIONER 03","County Commissioner",03,99377
"COUNTY COMMISSIONER 03","County Commissioner",03,99378
"COUNTY COMMISSIONER 03","County Commissioner",03,99379
"COUNTY COMMISSIONER 03","County Commissioner",03,99380
"COUNTY COMMISSIONER 03","County Commissioner",03,99381
"COUNTY COMMISSIONER 03","County Commissioner",03,99382
"COUNTY COMMISSIONER 03","County Commissioner",03,99383
"COUNTY COMMISSIONER 03","County Commissioner",03,99384
"COUNTY COMMISSIONER 03","County Commissioner",03,99385
"COUNTY COMMISSIONER 03","County Commissioner",03,99386
"COUNTY COMMISSIONER 03","County Commissioner",03,99387
"COUNTY COMMISSIONER 03","County Commissioner",03,99388
"COUNTY COMMISSIONER 03","County Commissioner",03,99389
"COUNTY COMMISSIONER 03","County Commissioner",03,99390
"COUNTY COMMISSIONER 03","County Commissioner",03,99391
"COUNTY COMMISSIONER 03","County Commissioner",03,99392
"COUNTY COMMISSIONER 03","County Commissioner",03,99393
"COUNTY COMMISSIONER 03","County Commissioner",03,99394
"COUNTY COMMISSIONER 03","County Commissioner",03,99395
"COUNTY COMMISSIONER 03","County Commissioner",03,99396
"COUNTY COMMISSIONER 03","County Commissioner",03,99397
"COUNTY COMMISSIONER 03","County Commissioner",03,99398
"COUNTY COMMISSIONER 03","County Commissioner",03,99399
"COUNTY COMMISSIONER 03","County Commissioner",03,99400
"COUNTY COMMISSIONER 03","County Commissioner",03,99401
"COUNTY COMMISSIONER 03","County Commissioner",03,99402
"COUNTY COMMISSIONER 03","County Commissioner",03,99403
"COUNTY COMMISSIONER 03","County Commissioner",03,99404
"COUNTY COMMISSIONER 03","County Commissioner",03,99405
"COUNTY COMMISSIONER 03","County Commissioner",03,99406
"COUNTY COMMISSIONER 03","County Commissioner",03,99553
"COUNTY COMMISSIONER 03","County Commissioner",03,99557
"COUNTY COMMISSIONER 03","County Commissioner",03,99560
"COUNTY COMMISSIONER 03","County Commissioner",03,99562
"COUNTY COMMISSIONER 03","County Commissioner",03,99564
"COUNTY COMMISSIONER 03","County Commissioner",03,99372
"COUNTY COMMISSIONER 03","County Commissioner",03,99373
"COUNTY COMMISSIONER 03","County Commissioner",03,99505
"COUNTY COMMISSIONER 03","County Commissioner",03,99506
"COUNTY COMMISSIONER 03","County Commissioner",03,99508
"COUNTY COMMISSIONER 03","County Commissioner",03,99514
"COUNTY COMMISSIONER 03","County Commissioner",03,99516
"COUNTY COMMISSIONER 03","County Commissioner",03,99517
"COUNTY COMMISSIONER 03","County Commissioner",03,99523
"COUNTY COMMISSIONER 03","County Commissioner",03,99525
"COUNTY COMMISSIONER 03","County Commissioner",03,99526
"COUNTY COMMISSIONER 03","County Commissioner",03,99532
"COUNTY COMMISSIONER 03","County Commissioner",03,99540
"COUNTY COMMISSIONER 03","County Commissioner",03,99542
"COUNTY COMMISSIONER 03","County Commissioner",03,99543
"COUNTY COMMISSIONER 03","County Commissioner",03,99547
"COUNTY COMMISSIONER 03","County Commissioner",03,99549
"COUNTY COMMISSIONER 03","County Commissioner",03,99551
"COUNTY COMMISSIONER 03","County Commissioner",03,99407
"COUNTY COMMISSIONER 03","County Commissioner",03,99408
"COUNTY COMMISSIONER 03","County Commissioner",03,99409
"COUNTY COMMISSIONER 03","County Commissioner",03,99410
"COUNTY COMMISSIONER 03","County Commissioner",03,99411
"COUNTY COMMISSIONER 03","County Commissioner",03,99412
"COUNTY COMMISSIONER 03","County Commissioner",03,99413
"COUNTY COMMISSIONER 03","County Commissioner",03,99414
"DISTRICT ATTNY 001","District Attorney",001,994
"DISTRICT ATTNY 002","District Attorney",002,99126
"DISTRICT ATTNY 003","District Attorney",003,99226
"DISTRICT ATTNY 004","District Attorney",004,99227
"DISTRICT ATTNY 005","District Attorney",005,9932
"DISTRICT ATTNY 006","District Attorney",006,99228
"DISTRICT ATTNY 007","District Attorney",007,99127
"DISTRICT ATTNY 008","District Attorney",008,99198
"DISTRICT ATTNY 009","District Attorney",009,995
"DISTRICT ATTNY 010","District Attorney",010,99105
"DISTRICT ATTNY 011","District Attorney",011,9974
"DISTRICT ATTNY 012","District Attorney",012,99199
"DISTRICT ATTNY 013","District Attorney",013,99200
"DISTRICT ATTNY 014","District Attorney",014,99229
"DISTRICT ATTNY 015","District Attorney",015,99106
"DISTRICT ATTNY 016","District Attorney",016,99162
"DISTRICT ATTNY 017","District Attorney",017,9975
"DISTRICT ATTNY 018","District Attorney",018,9976
"DISTRICT ATTNY 019","District Attorney",019,99163
"DISTRICT ATTNY 020","District Attorney",020,99128
"DISTRICT ATTNY 021","District Attorney",021,99201
"DISTRICT ATTNY 022","District Attorney",022,996
"DISTRICT ATTNY 023","District Attorney",023,997
"DISTRICT ATTNY 024","District Attorney",024,99129
"DISTRICT ATTNY 025","District Attorney",025,9933
"DISTRICT ATTNY 026","District Attorney",026,99130
"DISTRICT ATTNY 027","District Attorney",027,99230
"DISTRICT JUDGE 1-1","District Judge",1,9977
"DISTRICT JUDGE 10-1","District Judge",1,99231
"DISTRICT JUDGE 11-1","District Judge",1,9934
"DISTRICT JUDGE 12-1","District Judge",1,99202
"DISTRICT JUDGE 12-2","District Judge",1,99131
"DISTRICT JUDGE 12-3","District Judge",1,9935
"DISTRICT JUDGE 13-1","District Judge",1,99164
"DISTRICT JUDGE 14-1","District Judge",1,99107
"DISTRICT JUDGE 14-2","District Judge",1,9936
"DISTRICT JUDGE 14-3","District Judge",1,998
"DISTRICT JUDGE 14-4","District Judge",1,99165
"DISTRICT JUDGE 14-5","District Judge",1,9978
"DISTRICT JUDGE 14-6","District Judge",1,9937
"DISTRICT JUDGE 14-7","District Judge",1,99132
"DISTRICT JUDGE 14-8","District Judge",1,99232
"DISTRICT JUDGE 14-9","District Judge",1,99203
"DISTRICT JUDGE 1410","District Judge",1410,99166
"DISTRICT JUDGE 1411","District Judge",1411,99133
"DISTRICT JUDGE 1412","District Judge",1412,99204
"DISTRICT JUDGE 1413","District Judge",1413,99167
"DISTRICT JUDGE 1414","District Judge",1414,9979
"DISTRICT JUDGE 15-1","District Judge",1,999
"DISTRICT JUDGE 15-2","District Judge",1,99108
"DISTRICT JUDGE 15-3","District Judge",1,99134
"DISTRICT JUDGE 15-4","District Judge",1,99109
"DISTRICT JUDGE 16-1","District Judge",1,99168
"DISTRICT JUDGE 17-1","District Judge",1,99233
"DISTRICT JUDGE 18-1","District Judge",1,99169
"DISTRICT JUDGE 19-1","District Judge",1,99135
"DISTRICT JUDGE 2-1","District Judge",1,9910
"DISTRICT JUDGE 20-1","District Judge",1,9980
"DISTRICT JUDGE 20-2","District Judge",1,99170
"DISTRICT JUDGE 21-1","District Judge",1,99110
"DISTRICT JUDGE 21-2","District Judge",1,99234
"DISTRICT JUDGE 21-3","District Judge",1,99171
"DISTRICT JUDGE 21-4","District Judge",1,99205
"DISTRICT JUDGE 21-5","District Judge",1,992107
"DISTRICT JUDGE 22-1","District Judge",1,99172
"DISTRICT JUDGE 22-2","District Judge",1,99136
"DISTRICT JUDGE 23-1","District Judge",1,99137
"DISTRICT JUDGE 23-2","District Judge",1,99111
"DISTRICT JUDGE 24-1","District Judge",1,99207
"DISTRICT JUDGE 24-2","District Judge",1,99138
"DISTRICT JUDGE 24-3","District Judge",1,9981
"DISTRICT JUDGE 24-4","District Judge",1,9982
"DISTRICT JUDGE 25-1","District Judge",1,99235
"DISTRICT JUDGE 26-1","District Judge",1,99173
"DISTRICT JUDGE 26-2","District Judge",1,992249
"DISTRICT JUDGE 3-1","District Judge",1,99139
"DISTRICT JUDGE 4-1","District Judge",1,9983
"DISTRICT JUDGE 4-2","District Judge",1,9984
"DISTRICT JUDGE 4-3","District Judge",1,99112
"DISTRICT JUDGE 5-1","District Judge",1,99140
"DISTRICT JUDGE 5-2","District Judge",1,99194
"DISTRICT JUDGE 5-3","District Judge",1,99121
"DISTRICT JUDGE 5-4","District Judge",1,99195
"DISTRICT JUDGE 5-5","District Judge",1,991
"DISTRICT JUDGE 6-1","District Judge",1,9928
"DISTRICT JUDGE 7-1","District Judge",1,99122
"DISTRICT JUDGE 7-10","District Judge",1,9929
"DISTRICT JUDGE 7-11","District Judge",1,99159
"DISTRICT JUDGE 7-12","District Judge",1,9969
"DISTRICT JUDGE 7-13","District Judge",1,99196
"DISTRICT JUDGE 7-14","District Judge",1,99104
"DISTRICT JUDGE 7-15","District Judge",1,9970
"DISTRICT JUDGE 7-2","District Judge",1,99160
"DISTRICT JUDGE 7-3","District Judge",1,9971
"DISTRICT JUDGE 7-4","District Judge",1,9930
"DISTRICT JUDGE 7-5","District Judge",1,99123
"DISTRICT JUDGE 7-6","District Judge",1,992
"DISTRICT JUDGE 7-7","District Judge",1,99124
"DISTRICT JUDGE 7-8","District Judge",1,99125
"DISTRICT JUDGE 7-9","District Judge",1,99197
"DISTRICT JUDGE 8-1","District Judge",1,9931
"DISTRICT JUDGE 9-1","District Judge",1,9972
"BERRYHILL FIRE PROTECTION DISTRICT","Fire Protection District",1,992047
"CEDAR COUNTRY FIRE PROTECTION DISTRICT","Fire Protection District",1,992065
"NORTHWEST FIRE DISTRICT","Fire Protection District",1,992077
"VERDIGRIS FIRE DISTRICT","Fire Protection District",1,992079
"CITY OF BARTLESVILLE WARD 1","Municipal Ward",01,992031
"CITY OF BARTLESVILLE WARD 2","Municipal Ward",02,992032
"CITY OF BARTLESVILLE WARD 3","Municipal Ward",03,992033
"CITY OF BARTLESVILLE WARD 4","Municipal Ward",04,991934
"CITY OF BARTLESVILLE WARD 5","Municipal Ward",05,992035
"CITY OF CLINTON WARD 2","Municipal Ward",02,991815
"CITY OF LAWTON WARD 1","Municipal Ward",01,991784
"CITY OF LAWTON WARD 2","Municipal Ward",02,991785
"CITY OF OKLAHOMA CITY WARD 7","Municipal Ward",07,991889
"CITY OF TULSA WARD 1","Municipal Ward",01,991936
"CITY OF TULSA WARD 2","Municipal Ward",02,991985
"CITY OF TULSA WARD 3","Municipal Ward",03,991958
"CITY OF TULSA WARD 4","Municipal Ward",04,991987
"CITY OF TULSA WARD 5","Municipal Ward",05,991988
"CITY OF TULSA WARD 6","Municipal Ward",06,991989
"CITY OF TULSA WARD 7","Municipal Ward",07,991990
"CITY OF TULSA WARD 8","Municipal Ward",08,991991
"CITY OF TULSA WARD 9","Municipal Ward",09,991992
"CITY OF ALTUS AT LARGE","Municipality",1,99994
"CITY OF ANTLERS AT LARGE","Municipality",1,991511
"CITY OF CORDELL AT LARGE","Municipality",1,991684
"CITY OF HOLDENVILLE AT LARGE","Municipality",1,99980
"CITY OF LAWTON AT LARGE","Municipality",1,99773
"CITY OF MOORE AT LARGE","Municipality",1,99747
"CITY OF TULSA AT LARGE","Municipality",1,991641
"TOWN OF CYRIL AT LARGE","Municipality",1,99660
"CASHION PUBLIC SCHOOLS AT LARGE","School District",1,991055
"PERRY PUBLIC SCHOOLS AT LARGE","School District",1,991281
"GRADY COUNTY (EMS)","Special Purpose District",1,992252
"LOGAN COUNTY (EMS)","Special Purpose District",1,992411
"MCCLAIN COUNTY (EMS)","Special Purpose District",1,992251
"STATE HOUSE DISTRICT 001","State House of Representatives",001,9951
"STATE HOUSE DISTRICT 002","State House of Representatives",002,9955
"STATE HOUSE DISTRICT 003","State House of Representatives",003,99182
"STATE HOUSE DISTRICT 004","State House of Representatives",004,9923
"STATE HOUSE DISTRICT 005","State House of Representatives",005,9995
"STATE HOUSE DISTRICT 006","State House of Representatives",006,99154
"STATE HOUSE DISTRICT 007","State House of Representatives",007,99250
"STATE HOUSE DISTRICT 008","State House of Representatives",008,9994
"STATE HOUSE DISTRICT 009","State House of Representatives",009,99215
"STATE HOUSE DISTRICT 010","State House of Representatives",010,99251
"STATE HOUSE DISTRICT 011","State House of Representatives",011,99247
"STATE HOUSE DISTRICT 012","State House of Representatives",012,99252
"STATE HOUSE DISTRICT 013","State House of Representatives",013,9919
"STATE HOUSE DISTRICT 014","State House of Representatives",014,99183
"STATE HOUSE DISTRICT 015","State House of Representatives",015,99184
"STATE HOUSE DISTRICT 016","State House of Representatives",016,99216
"STATE HOUSE DISTRICT 017","State House of Representatives",017,99116
"STATE HOUSE DISTRICT 018","State House of Representatives",018,99214
"STATE HOUSE DISTRICT 019","State House of Representatives",019,99151
"STATE HOUSE DISTRICT 020","State House of Representatives",020,99238
"STATE HOUSE DISTRICT 021","State House of Representatives",021,99217
"STATE HOUSE DISTRICT 022","State House of Representatives",022,9949
"STATE HOUSE DISTRICT 023","State House of Representatives",023,99180
"STATE HOUSE DISTRICT 024","State House of Representatives",024,99218
"STATE HOUSE DISTRICT 025","State House of Representatives",025,99117
"STATE HOUSE DISTRICT 026","State House of Representatives",026,9956
"STATE HOUSE DISTRICT 027","State House of Representatives",027,99253
"STATE HOUSE DISTRICT 028","State House of Representatives",028,9957
"STATE HOUSE DISTRICT 029","State House of Representatives",029,9996
"STATE HOUSE DISTRICT 030","State House of Representatives",030,9997
"STATE HOUSE DISTRICT 031","State House of Representatives",031,9924
