FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
40,2012-11-06,polling_location,WESTVILLE UTILITY BUILDING,WESTVILLE UTILITY BUILDING WESTVILLE OK 74965,ADAIR COUNTY PRECINCT 010018
40,2012-11-06,polling_location,KIAMICHI TECHNOLOGY CENTER,105 S 15TH ST - HWY 70 E HUGO OK 74743,CHOCTAW COUNTY PRECINCT 120316
40,2012-11-06,polling_location,MILLERTON COMMUNITY BUILDING,MILLERTON COMMUNITY MILLERTON OK 74750,McCURTAIN COUNTY PRECINCT 450034
40,2012-11-06,polling_location,SEVENTH DAY ADVENTIST CHURCH,225 SUNNY MEADOW DRIVE DURANT OK 74701,BRYAN COUNTY PRECINCT 070027
40,2012-11-06,polling_location,CITY HALL,23 N. LOGAN BOISE CITY OK 73933,CIMARRON COUNTY PRECINCT 130003
40,2012-11-06,polling_location,FIRST PRESBYTER CH OF OWASSO,12800 E 85 ST N OWASSO OK 74055,TULSA COUNTY PRECINCT 720754
40,2012-11-06,polling_location,JAMES INHOFE PLAZA,6565 S NEWPORT AVE TULSA OK 74136,TULSA COUNTY PRECINCT 720161
40,2012-11-06,polling_location,LEHIGH FIRE STATION,2ND STREET LEHIGH OK 74556,COAL COUNTY PRECINCT 150011
40,2012-11-06,polling_location,FAY SCHOOL,-- FAY OK 73646,DEWEY COUNTY PRECINCT 220010
40,2012-11-06,polling_location,AMES CITY HALL,106 E. CORP. DR. AMES OK 73718,MAJOR COUNTY PRECINCT 470015
40,2012-11-06,polling_location,CRESCENT VALLEY CHURCH,25641 S CRESCENT VALLEY RD TAHLEQUAH OK 74464,CHEROKEE COUNTY PRECINCT 110019
40,2012-11-06,polling_location,FAITH LUTHERAN CHURCH,9222 N GARNETT RD OWASSO OK 74055,TULSA COUNTY PRECINCT 720751
40,2012-11-06,polling_location,VICTORY WORSHIP CENTER,23725 US HWY 271-SPIRO SPIRO OK 74959,LEFLORE COUNTY PRECINCT 400113
40,2012-11-06,polling_location,EMMANUEL TABERNACLE CHURCH,9700 N WESTERN AVENUE OKLAHOMA CITY OK 73114,OKLAHOMA COUNTY PRECINCT 550120
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680101
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680102
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680103
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680104
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680105
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680106
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680201
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680202
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680203
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680204
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680205
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680206
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680207
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680208
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680209
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680210
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680301
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680302
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680303
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680304
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680305
40,2012-11-06,early_vote_site,SEQUOYAH COUNTY ELECTION BOARD,110 E. Creek Ave. SALLISAW OK 74955,SEQUOYAH COUNTY PRECINCT 680306
