election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,OK,ADAIR,ADAIR,county,010001,,,election_day,DAHLONEGAH SCHOOL," RT 1 BOX 351, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010002,,,election_day,LYONS COMMUNITY BUILDING," 463101 E. 914 RD, BUNCH OK 74931",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010003,,,election_day,PROCTOR COMMUNITY BUILDING," P.O. BOX 193, PROCTOR OK 74457",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010004,,,election_day,STILWELL COMMUNITY BUILDING,"422 W POPLAR, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010005,,,election_day,ROCKY MTN COMMUNITY CHURCH,"ROCKY MTN COMMUNITY CHUR, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010006,,,election_day,LIGHTHOUSE CHURCH STONEY POINT,"LIGHTHOUSE CHURCH, HWY 51 WEST, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010007,,,election_day,CHURCH OF CHRIST HWY 100W,"CHURCH OF CHRIST, P.O. BOX 209, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010008,,,election_day,MID COUNTY COMMUNITY BUILDING,"75371 HWY 59, WESTVILLE OK 74965",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010010,,,election_day,CHRISTIE COMMUNITY BUILDING,"73596 S. 4677 RD, WESTVILLE OK 74965",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010011,,,election_day,BELL SCHOOL," RT. 5 BOX 4470, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010012,,,election_day,FOUR CORNER CHURCH OF CHRIST,"FOUR CORNERS CHURCH OF CHRIST, HWY 100 EAST, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010013,,,election_day,FAITH TABERNACLE CHURCH," CHALK BLUFF HWY 51 EAST, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010014,,,election_day,FIRST CHRISTIAN CHURCH 2ND ST,"FIRST CHRISTIAN CHURCH, P.O. BOX 152, STILWELL OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010016,,,election_day,CHEWEY COMMUNITY BUILDING,"RIVER RD AND CHEWEY RD, WATTS OK 74964",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010017,,,election_day,WATTS BAPTIST CHURCH," 4TH STREET, WATTS OK 74964",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010018,,,election_day,WESTVILLE TOWN HALL," 221 S WILLIAMS, WESTVILLE OK 74965",,ORR,2020-10-20,
2020-11-03,OK,ADAIR,ADAIR,county,010019,,,election_day,WESTVILLE COMMUNITY BUILDING,"1256 BUFFINGTON RD., WESTVILLE OK 74960",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020110,,,election_day,BURLINGTON FIREHOUSE,"410 MAPLE, BURLINGTON OK 73722",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020120,,,election_day,BYRON COMMUNITYCENTER-ABFD,"502 4TH STREET, BYRON OK 73722",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020140,,,election_day,CHEROKEE H.S. AUDITORIUM LOBBY,"412 E 5 ST, CHEROKEE OK 73728",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020220,,,election_day,ALFALFA COUNTY FAIRGROUNDS,"EXHIBIT BUILDING, 520 WEST 5TH STREET, CHEROKEE OK 73728",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020230,,,election_day,CARMEN SENIOR CITIZENS BLDG,"424 W MAIN ST, CARMEN OK 73726",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020310,,,election_day,HELENA SR CITIZENS CENTER,"300 NORTH MAIN ST, HELENA OK 73741",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020320,,,election_day,GOLTRY COMMUNITY BUILDING,"124 E. MAIN, GOLTRY OK 73739",,ORR,2020-10-20,
2020-11-03,OK,ALFALFA,ALFALFA,county,020330,,,election_day,JET COMMUNITY BUILDING,"300 MAIN STREET, JET OK 73749",,ORR,2020-10-20,
2020-11-03,OK,ATOKA,ATOKA,county,030001,,,election_day,ATOKA COMMUNITY BUILDING,"983 W LIBERTY RD., ATOKA OK 74525",,ORR,2020-10-20,
2020-11-03,OK,ATOKA,ATOKA,county,030002,,,election_day,MASONIC LODGE,"1111 W 13 ST, ATOKA OK 74525",,ORR,2020-10-20,
