FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
42,2014-11-04,polling_location,BETHEL PRESBY CHURCH AUD,2999 BETHEL CHURCH RD BETHEL PARK PA ,BETHEL PARK 07 03
42,2014-11-04,polling_location,CHISUK EMUNA SYNAGOGUE,3219 GREEN ST HARRISBURG PA 17110,HARRISBURG - 14TH WARD
42,2014-11-04,polling_location,BEN AVON BORO FIRE STATION 1ST FL,7219 CHURCH AVE BEN AVON PA ,BEN AVON 00 01
42,2014-11-04,polling_location,54/13 MAX MYERS RECREATION CENTER,1601 HELLERMAN ST PHILADELPHIA PA ,PHILA WD 54 DIV 13
42,2014-11-04,polling_location,ELMWOOD AVE. UNITED PRESB. CHURCH,2816 ELMWOOD AVE ERIE PA 16508,ERIE SIXTH WARD 14TH DISTRICT
42,2014-11-04,polling_location,59/15 FIRST UNITED METHODIST CHURCH,6019 GERMANTOWN AVE PHILADELPHIA PA ,PHILA WD 59 DIV 15
42,2014-11-04,polling_location,MCANULTY SCHOOL,5151 MCANULTY RD BALDWIN BR PA 15236,BALDWIN BR 00 14
42,2014-11-04,polling_location,OPTION INDEPENDENT FIRE CO,825 STREETS RUN RD BALDWIN BR PA ,BALDWIN BR 00 05
42,2014-11-04,polling_location,COLLEGEVILLE BOROUGH HALL,491 E MAIN ST COLLEGEVILLE PA 19426,COLLEGEVILLE 2
42,2014-11-04,polling_location,16/17 CECIL B MOORE RECREATION CTR,22ND & HUNTINGDON STS PHILADELPHIA PA ,PHILA WD 16 DIV 17
42,2014-11-04,polling_location,BISHOP CARROLL HIGH SCHOOL,728 BEN FRANKLIN HWY EBENSBURG PA ,EBENSBURG(B) WEST
42,2014-11-04,polling_location,ST GEORGE ORTHODOX CHURCH,519 58TH ST ALTOONA PA 16602,ALTOONA WD 14 PCT 4
42,2014-11-04,polling_location,WALLACE BUILDING,41 MACEK DR BALDWIN BR PA ,BALDWIN BR 00 09
42,2014-11-04,polling_location,08/21 ACADEMY HOUSE CONDOMINIUMS,1420 LOCUST ST PHILADELPHIA PA ,PHILA WD 08 DIV 21
42,2014-11-04,polling_location,RALPHO FIRE COMPANY (OVERLOOK0,258 OVERLOOK BLVD SHAMOKIN PA 17872,"RALPHO TWP, SECOND DIST"
42,2014-11-04,polling_location,ST PETERS EPIS CH KINDER RM,4048 BROWNSVILLE RD PITTSBURGH PA 15227,BRENTWOOD 00 08
42,2014-11-04,polling_location,THOMPSON TWP MUNICIPAL BUILDING,4917 STATE ROUTE 1001 THOMPSON PA 18465,THOMPSON TOWNSHIP
42,2014-11-04,polling_location,MUNICIPAL BLDG COUNCIL CHAMBERS,5100 W LIBRARY AVE BETHEL PARK PA ,BETHEL PARK 08 03
42,2014-11-04,polling_location,54/21 DISTRICT HEALTH CENTER #10,2230 COTTMAN AVE PHILADELPHIA PA ,PHILA WD 54 DIV 21
42,2014-11-04,polling_location,ST SCHOLASTICA PASTORIAL CENTER,300 E MAPLE AVE ASPINWALL PA ,ASPINWALL 00 03
42,2014-11-04,polling_location,57/13 IMMACULATE MARY NURSING HOME,2990 HOLME AVE PHILADELPHIA PA ,PHILA WD 57 DIV 13
42,2014-11-04,polling_location,PIONEER HOSE CO.,124 MORGAN ST BRACKENRIDGE PA 15104,BRACKENRIDGE 03 00
42,2014-11-04,polling_location,RAYBURN TWP FIREHALL,102 WATER TOWER RD KITTANNING PA 16201,RAYBURN TWP
42,2014-11-04,polling_location,PATHFINDER SCHOOL,50 DONATI RD BETHEL PARK PA ,BETHEL PARK 08 02
42,2014-11-04,polling_location,TRINITY EVANGELICAL LUTHERAN CHURCH,3832 GIBSONIA RD RICHLAND PA ,RICHLAND 00 07
42,2014-11-04,polling_location,BETHEL PRESBY CHURCH AUD,2999 BETHEL CHURCH RD BETHEL PARK PA ,BETHEL PARK 07 02
42,2014-11-04,polling_location,MOUNT CALVARY LUTHERAN CHURCH,308 PETERSBURG RD LITITZ PA 17543,MANHEIM TWP 1
42,2014-11-04,polling_location,ST ALBERT THE GREAT,3198 SCHIECK ST BALDWIN BR PA ,BALDWIN BR 00 12
42,2014-11-04,polling_location,BETHEL PARK V.F.C. CLIFTON STATION,1100 CLIFTON RD BETHEL PARK PA ,BETHEL PARK 02 01
42,2014-11-04,polling_location,THORNBURG SCHOOL,600 HAMILTON RD THORNBURG PA ,THORNBURG 00 01
42,2014-11-04,polling_location,50/20 FIREHOUSE,76TH ST & OGONTZ AVE PHILADELPHIA PA ,PHILA WD 50 DIV 20
42,2014-11-04,polling_location,WARRIOR RUN MANOR,1105 MAIN ST WATSONTOWN PA 17777,"WATSONTOWN BORO, 2W"
42,2014-11-04,polling_location,MT. CARMEL PRESBYTERIAN CHURCH,2720 BRODHEAD ROAD ALIQUIPPA PA 15001,ALIQUIPPA 7
42,2014-11-04,polling_location,FAIRVIEW FIRE HALL NO. 2.,7040 W LAKE RD FAIRVIEW PA 16415,FAIRVIEW TOWNSHIP 1ST DISTRICT
42,2014-11-04,polling_location,ALEPPO TWP MUNI BUILDING,100 NORTH DR ALEPPO PA ,ALEPPO 00 01
42,2014-11-04,polling_location,10/07 PILGRIM WESLEYAN CHURCH,6700 N BROAD ST PHILADELPHIA PA ,PHILA WD 10 DIV 07
42,2014-11-04,polling_location,ALIQUIPPA CHRISTIAN ASSEMBLY CHURCH,166 W SHAFFER RD ALIQUIPPA PA 15001,CENTER TWP 7
42,2014-11-04,polling_location,MCANULTY SCHOOL,5151 MCANULTY RD BALDWIN BR PA 15236,BALDWIN BR 00 06
42,2014-11-04,polling_location,JENKS TOWNSHIP BUILDING,135 PINE ST MARIENVILLE PA 16239,JENKS TOWNSHIP
42,2014-11-04,polling_location,ROOSEVELT ARMS APARTMENTS,609 PENN AVE PITTSBURGH PA 15222,PITTSBURGH 02 01
