election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,RI,,BARRINGTON,municipality,0101,,,election_day,BARRINGTON HIGH SCHOOL,"220 LINCOLN AVE, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BARRINGTON,municipality,0102,,,election_day,MIDDLE SCHOOL,"261 MIDDLE HWY, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BARRINGTON,municipality,0103,,,election_day,NAYATT SCHOOL,"400 NAYATT RD, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BARRINGTON,municipality,0104,,,election_day,HAMPDEN MEADOWS SCHOOL,"297 NEW MEADOW RD, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BARRINGTON,municipality,0105,,,election_day,SOWAMS SCHOOL,"364 SOWAMS RD, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BARRINGTON,municipality,0106,,,election_day,TOWN HALL - LIMITED,"283 COUNTY RD, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BARRINGTON,municipality,0107,,,election_day,SENIOR CENTER @ BARRINGTON PUBLIC LIBRARY,"281 COUNTY RD, BARRINGTON, RI 02806",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0201,,,election_day,ROCKWELL SCHOOL,"1225 HOPE ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0202,,,election_day,BURNSIDE BUILDING,"400 HOPE ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0203,,,election_day,QUINTA-GAMELIN CENTER,"50 ASYLUM RD, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0204,,,election_day,MOUNT HOPE HIGH SCHOOL,"199 CHESTNUT ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0205,,,election_day,FIRE DEPARTMENT HEADQUARTERS,"4 ANNAWAMSCUTT DR, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0206,,,election_day,RHODE ISLAND VETERAN'S HOME,"480 METACOM AVE, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0207,,,election_day,ROGER WILLIAMS UNIVERSITY NORTH DORMITORY,"1 OLD FERRY RD, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0208,,,election_day,FRANKLIN COURT,"150 FRANKLIN ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0209,,,election_day,ST. ELIZABETH AUDITORIUM,"577 WOOD ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0210,,,election_day,TOWN HALL - LIMITED,"10 COURT ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BRISTOL,municipality,0211,,,election_day,TOWN HALL - PRESIDENT ONLY,"10 COURT ST, BRISTOL, RI 02809",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0301,,,election_day,PASCOAG UTILITY DISTRICT,"253 PASCOAG MAIN ST, BURRILLVILLE, RI 02859",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0302,,,election_day,BECKWITH-BRUCKSHAW MEMORIAL LODGE,"50 LODGE RD, BURRILLVILLE, RI 02859",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0303,,,election_day,BURRILLVILLE HIGH SCHOOL,"425 EAST AVE, BURRILLVILLE, RI 02830",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0304,,,election_day,WILLIAM L CALLAHAN SCHOOL,"75 CALLAHAN SCHOOL ST, BURRILLVILLE, RI 02830",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0305,,,election_day,OAKLAND-MAPLEVILLE FIRE STATION,"46 OAKLAND SCHOOL ST, BURRILLVILLE, RI 02858",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0306,,,election_day,BURRILLVILLE MIDDLE SCHOOL,"2220 BRONCOS HWY, BURRILLVILLE, RI 02830",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0307,,,election_day,AMERICAN LEGION POST 17,"103 HARRISVILLE MAIN ST, BURRILLVILLE, RI 02830",,ORR,2019-09-17,
2012-11-06,RI,,BURRILLVILLE,municipality,0308,,,election_day,AMERICAN LEGION POST 17,"103 HARRISVILLE MAIN ST, BURRILLVILLE, RI 02830",,ORR,2019-09-17,
2012-11-06,RI,,CENTRAL FALLS,municipality,0401,,,election_day,CALCUTT MIDDLE SCHOOL - ROOM A,"112 WASHINGTON ST, CENTRAL FALLS, RI 02863",,ORR,2019-09-17,
2012-11-06,RI,,CENTRAL FALLS,municipality,0402,,,election_day,M.I. ROBERTSON SCHOOL - ROOM A,"135 HUNT ST, CENTRAL FALLS, RI 02863",,ORR,2019-09-17,
2012-11-06,RI,,CENTRAL FALLS,municipality,0403,,,election_day,CENTRAL FALLS HIGH SCHOOL,"24 SUMMER ST, CENTRAL FALLS, RI 02863",,ORR,2019-09-17,
