election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2014-11-04,RI,,BARRINGTON,municipality,0101,,,election_day,BARRINGTON HIGH SCHOOL,"220 LINCOLN AVE, BARRINGTON, RI",,ORR,2019-09-17,
2014-11-04,RI,,BARRINGTON,municipality,0102,,,election_day,MIDDLE SCHOOL,"261 MIDDLE HWY, BARRINGTON, RI",,ORR,2019-09-17,
2014-11-04,RI,,BARRINGTON,municipality,0103,,,election_day,NAYATT SCHOOL,"400 NAYATT RD, BARRINGTON, RI",,ORR,2019-09-17,
2014-11-04,RI,,BARRINGTON,municipality,0104,,,election_day,HAMPDEN MEADOWS SCHOOL,"297 NEW MEADOW RD, BARRINGTON, RI",,ORR,2019-09-17,
2014-11-04,RI,,BARRINGTON,municipality,0105,,,election_day,SOWAMS SCHOOL,"364 SOWAMS RD, BARRINGTON, RI",,ORR,2019-09-17,
2014-11-04,RI,,BARRINGTON,municipality,0106,,,election_day,TOWN HALL - LIMITED,"283 COUNTY RD, BARRINGTON, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0201,,,election_day,ROCKWELL SCHOOL,"1225 HOPE ST, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0202,,,election_day,BURNSIDE BUILDING,"400 HOPE ST, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0203,,,election_day,QUINTA-GAMELIN CENTER,"101 ASYLUM RD, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0204,,,election_day,MOUNT HOPE HIGH SCHOOL,"199 CHESTNUT ST, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0205,,,election_day,FIRE DEPARTMENT HEADQUARTERS,"4 ANNAWAMSCUTT DR, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0206,,,election_day,RHODE ISLAND VETERANS HOME,"480 METACOM AVE, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0207,,,election_day,ROGER WILLIAMS UNIVERSITY NORTH DORMITORY,"1 OLD FERRY RD, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0208,,,election_day,FRANKLIN COURT,"150 FRANKLIN ST, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0209,,,election_day,ST. ELIZABETH AUDITORIUM,"577 WOOD ST, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BRISTOL,municipality,0210,,,election_day,TOWN HALL - LIMITED,"10 COURT ST, BRISTOL, RI",,ORR,2019-09-17,
2014-11-04,RI,,BURRILLVILLE,municipality,0301,,,election_day,PASCOAG UTILITY DISTRICT,"253 PASCOAG MAIN ST, BURRILLVILLE, RI",,ORR,2019-09-17,
