Textbox97,CountyCode,CountyName,PrecinctCode,PrecinctName,PollingLocationName,PollingLocationAddress
County: 01 - ABBEVILLE,01,ABBEVILLE,001,Abbeville No. 1,Abbeville Civic Center,"404 N Main St
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,002,Abbeville No. 2,Abbeville County Court House,"102 Court Sq
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,003,Abbeville No. 3,Abbeville County Complex,"903 W Greenwood St
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,004,Abbeville No. 4,Abbeville Fire Dept Headquarters,"17 Old Calhoun Falls Rd
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,005,Antreville,Antreville Fire Dept,"147 Hwy 184 W
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,006,Broadmouth,Turkey Creek Fire Dept,"6855 Hwy 252
Donalds SC 29638"
County: 01 - ABBEVILLE,01,ABBEVILLE,007,Calhoun Falls,Calhoun Falls Civic Center,"401 Washington St N
Calhoun Falls SC 29628"
County: 01 - ABBEVILLE,01,ABBEVILLE,008,Cold Springs,Cold Springs Fire Dept,"2106 Hwy 20
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,009,Donalds,Donalds Fire Department,"445 W Main St
Donalds SC 29638"
County: 01 - ABBEVILLE,01,ABBEVILLE,010,Due West,Due West Fire Department,"13 Church St
Due West SC 29639"
County: 01 - ABBEVILLE,01,ABBEVILLE,011,Hall's Store,Calvary Baptist Church,"5551 Hwy 252
Ware Shoals SC 29692"
County: 01 - ABBEVILLE,01,ABBEVILLE,012,Keowee,Keowee Fire Dept,"4065 Keowee Rd
Honea Path SC 29654"
County: 01 - ABBEVILLE,01,ABBEVILLE,013,Lowndesville,Lownds. Community Center,"416 Main St
Lowndesville SC 29659"
County: 01 - ABBEVILLE,01,ABBEVILLE,014,Lebanon,Sharon Fire Dept,"167 Firehouse Rd
Abbeville SC 29620"
