election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Abbeville No. 1,1383,,Abbeville Civic Center,"404 N Main St, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Abbeville No. 2,1522,,Abbeville Co. Courthouse,"102 Court Square, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Abbeville No. 3,989,,Abbeville County Complex,"903 W Greenwood St, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Abbeville No. 4,1409,,Abbeville Fire Department Headquarters,"17 Old Calhoun Falls Rd, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Antreville,1701,,Antreville Fire Dept,"147 Hwy 184 W, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Broadmouth,1289,,Turkey Creek Fire Dept,"6855 Hwy 252, Donalds, SC 29638",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Calhoun Falls,247,,Cf Civic Center,"401 Washington St, Calhoun Falls, SC 29628",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Cold Springs,148,,Cold Springs Fire Dept,"2106 Hwy 20, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Donalds,2102,,Donalds Town Hall,"125 W Main St, Donalds, SC 29638",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Due West,1589,,Due West Fire Department,"13 Church St, Due West, SC 29639",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Hall's Store,1610,,Calvary Baptist Church,"5551 Hwy 252, Ware Shoals, SC 29692",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Keowee,973,,Keowee Fire Dept,"4065 Keowee Rd, Honea Path, SC 29654",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Lowndesville,1263,,Lownds. Community Center,"416 Main St, Lowndesville, SC 29659",,ORR,2019-09-19,
2014-11-04,SC,ABBEVILLE,ABBEVILLE,county,,Lebanon,1443,,Sharon Fire Dept,"167 Firehouse Rd, Abbeville, SC 29620",,ORR,2019-09-19,
2014-11-04,SC,AIKEN,AIKEN,county,,Aiken No. 1,326,,City Auditorium,"214 Park Ave SW, Aiken, SC 29801",,ORR,2019-09-19,
2014-11-04,SC,AIKEN,AIKEN,county,,Aiken No. 2,635,,American Legion Post,"602 Hampton Ave NW, Aiken, SC 29801",,ORR,2019-09-19,
2014-11-04,SC,AIKEN,AIKEN,county,,Aiken No. 3,1928,,Aiken High School,"123 Rutland Dr, Aiken, SC 29801",,ORR,2019-09-19,
2014-11-04,SC,AIKEN,AIKEN,county,,Aiken No. 4,878,,Smith Hazel Rec Center,"400 Kershaw St NE, Aiken, SC 29801",,ORR,2019-09-19,
2014-11-04,SC,AIKEN,AIKEN,county,,Aiken No. 5,2552,,Kennedy Middle School,"274 E Pine Log Rd, Aiken, SC 29803",,ORR,2019-09-19,
2014-11-04,SC,AIKEN,AIKEN,county,,Aiken No. 6,1122,,Odell Weeks Ctr,"1700 Whiskey Rd, Aiken, SC 29803",,ORR,2019-09-19,
