election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,SD,Aurora,Aurora,county,,,,polling_place,Aurora County Ag Building,"1302 E 1st St, Plankinton",,ORR,2019-10-17,
2016-11-08,SD,Aurora,Aurora,county,,,,polling_place,Plankinton Fire Hall,"304 N Main St, Plankinton",,ORR,2019-10-17,
2016-11-08,SD,Aurora,Aurora,county,,,,polling_place,Stickney Community Building,"400 Main St, Stickney",,ORR,2019-10-17,
2016-11-08,SD,Aurora,Aurora,county,,,,polling_place,White Lake City Hall,"111 Main St, White Lake",,ORR,2019-10-17,
2016-11-08,SD,Beadle,Beadle,county,,,,polling_place,Byron Bible Camp,"40546 S Shore Road, Huron",,ORR,2019-10-17,
2016-11-08,SD,Beadle,Beadle,county,,,,polling_place,Cavour Fire Hall,"250 Victor St, Cavour",,ORR,2019-10-17,
2016-11-08,SD,Beadle,Beadle,county,,,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2016-11-08,SD,Beadle,Beadle,county,,,,polling_place,Wolsey Community Center,"305 Commercial Ave SW, Wolsey",,ORR,2019-10-17,
2016-11-08,SD,Bennett,Bennett,county,,,,polling_place,American Horse School,"28451 Allen Rd, Allen",,ORR,2019-10-17,
2016-11-08,SD,Bennett,Bennett,county,,,,polling_place,Lacreek Electric Building,"121 N. Harold St, Martin",,ORR,2019-10-17,
2016-11-08,SD,Bennett,Bennett,county,,,,polling_place,Martin Community Room,"101 First Ave, Martin",,ORR,2019-10-17,
2016-11-08,SD,Bennett,Bennett,county,,,,polling_place,Vetal Fire Hall,"23688 US Hwy 18, Vetal",,ORR,2019-10-17,
2016-11-08,SD,Bon Homme,Bon Homme,county,,,,polling_place,Avon Fire Hall,"E 1st Avenue, Avon",,ORR,2019-10-17,
2016-11-08,SD,Bon Homme,Bon Homme,county,,,,polling_place,Scotland City Meeting Room,"530 Juniper Street, Scotland",,ORR,2019-10-17,
2016-11-08,SD,Bon Homme,Bon Homme,county,,,,polling_place,Springfield Community Center,"807 8th Street, Springfield",,ORR,2019-10-17,
2016-11-08,SD,Bon Homme,Bon Homme,county,,,,polling_place,Tabor Senior Citizens Center,"138 N Lidice St, Tabor",,ORR,2019-10-17,
2016-11-08,SD,Bon Homme,Bon Homme,county,,,,polling_place,Tyndall Community Center,"1609 Laurel St, Tyndall",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-1 Brookings Activity Center,"320 5th Ave., Brookings",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-10 Volga Community Center,"109 Samara Ave., Volga",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-11 Holy Life Tabernacle,"241 Mustang Pass, Brookings",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-2 Bethel Baptist Church,"714 17th Ave. S., Brookings",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-3 Swiftel Center,"824 32nd Ave, Brookings",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-4 Aurora Little Hall,"Nicollett St., Aurora",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-5 Elkton Community Center,"109 Elk St. S., Elkton",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-6 McKnight Hall,"228 W. Main St., White",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-7 Bruce City Hall,"507 Jay St., Bruce",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-8 Trinity Lutheran Church,"321 S. Main, Arlington",,ORR,2019-10-17,
2016-11-08,SD,Brookings,Brookings,county,,,,vote_center,1-9 Sinai American Legion,"Main Ave., Sinai",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,AmericInn Event Center,"301 Centennial Street, Aberdeen",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Best Western Ramkota Hotel and Convention Center,"1400 8th Ave NW, Aberdeen",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Claremont Fire Station,"505 6th St., Claremont",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Columbia American Legion,"102 N Broadway, Columbia",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Courthouse Community Room,"25 Market St., Aberdeen",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Frederick Community Center,"2nd Ave., Frederick",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Groton Community Center,"109 N 3rd St, Groton",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Hecla Community Center,"206 Main St., Hecla",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Stratford Communty Center,"293 E Rondell Ave., Stratford",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Warner Community Center,"Main St., Warner",,ORR,2019-10-17,
2016-11-08,SD,Brown,Brown,county,,,,vote_center,Westport Community Center,"13 W Main St., Westport",,ORR,2019-10-17,
2016-11-08,SD,Brule,Brule,county,,,,polling_place,Academy Fire Hall,"26886 SD Hwy 50, Platte",,ORR,2019-10-17,
2016-11-08,SD,Brule,Brule,county,,,,polling_place,Brule County Ag Building,"200 County Rd 122, Pukwana",,ORR,2019-10-17,
2016-11-08,SD,Brule,Brule,county,,,,polling_place,Brule County Courthouse,"300 S Courtland, Chamberlain",,ORR,2019-10-17,
2016-11-08,SD,Brule,Brule,county,,,,polling_place,Kimball Legion Hall,"Main Street, Kimball",,ORR,2019-10-17,
2016-11-08,SD,Brule,Brule,county,,,,polling_place,Ola Church,"26096 349 Ave, Chamberlain",,ORR,2019-10-17,
2016-11-08,SD,Buffalo,Buffalo,county,,,,polling_place,Crow Creek Housing Dist Recr. Bldg.,"210 A Avenue, CCST Reservation",,ORR,2019-10-17,
2016-11-08,SD,Buffalo,Buffalo,county,,,,polling_place,Elm Creek Election Bldg.,"35190 SD HWY 34, Gann Valley",,ORR,2019-10-17,
2016-11-08,SD,Buffalo,Buffalo,county,,,,polling_place,St. Joseph Catholic Hall,"817 HWY 47, Fort Thompson",,ORR,2019-10-17,
