election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2018-11-06,SD,Aurora,Aurora,county,,Precinct-1,,polling_place,Stickney Community Building,"400 Main St, Stickney",,ORR,2019-10-17,
2018-11-06,SD,Aurora,Aurora,county,,Precinct-2,,polling_place,Stickney Community Building,"400 Main St, Stickney",,ORR,2019-10-17,
2018-11-06,SD,Aurora,Aurora,county,,Precinct-3,,polling_place,White Lake City Hall,"111 Main St, White Lake",,ORR,2019-10-17,
2018-11-06,SD,Aurora,Aurora,county,,Precinct-5,,polling_place,Aurora County Ag Building,"1302 E 1st St, Plankinton",,ORR,2019-10-17,
2018-11-06,SD,Aurora,Aurora,county,,Precinct-7,,polling_place,Plankinton Fire Hall,"304 N Main St, Plankinton",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 1,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 2,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 3,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 7-1,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 7-2,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 8-1,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct 8-2,,polling_place,Huron Arena,"150 5th St SW, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct-12,,polling_place,Wolsey Community Center,"305 Commercial Ave SW, Wolsey",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct-15,,polling_place,Byron Bible Camp,"40546 S Shore Road, Huron",,ORR,2019-10-17,
2018-11-06,SD,Beadle,Beadle,county,,Precinct-17,,polling_place,Cavour Town Hall,"412 Albert St, Cavour",,ORR,2019-10-17,
2018-11-06,SD,Bennett,Bennett,county,,Allen Precinct,,polling_place,American Horse School,"28451 Allen Rd, Allen",,ORR,2019-10-17,
2018-11-06,SD,Bennett,Bennett,county,,Martin City Precinct,,polling_place,Martin Community Room,"101 First Ave, Martin",,ORR,2019-10-17,
2018-11-06,SD,Bennett,Bennett,county,,Martin Rural 26/27 Precinct,,polling_place,Lacreek Electric Building,"121 N. Harold St, Martin",,ORR,2019-10-17,
2018-11-06,SD,Bennett,Bennett,county,,Vetal/Tuthill Precinct,,polling_place,Vetal Fire Hall,"23688 US Hwy 18, Vetal",,ORR,2019-10-17,
2018-11-06,SD,Bon Homme,Bon Homme,county,,Precinct-1,,polling_place,Scotland City Meeting Room,"530 Juniper Street, Scotland",,ORR,2019-10-17,
2018-11-06,SD,Bon Homme,Bon Homme,county,,Precinct-2,,polling_place,Avon Fire Hall,"E 1st Avenue, Avon",,ORR,2019-10-17,
2018-11-06,SD,Bon Homme,Bon Homme,county,,Precinct-3,,polling_place,Tyndall Community Center,"1609 Laurel St, Tyndall",,ORR,2019-10-17,
2018-11-06,SD,Bon Homme,Bon Homme,county,,Precinct-4,,polling_place,Tabor Senior Citizens Center,"138 N Lidice St, Tabor",,ORR,2019-10-17,
2018-11-06,SD,Bon Homme,Bon Homme,county,,Precinct-5,,polling_place,Springfield Community Center,"807 8th Street, Springfield",,ORR,2019-10-17,
