election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,TX,ANDERSON,ANDERSON,county,2,,,polling_place,1ST BAPTIST CHURCH-ELKHART,424 W PARKER ELKHART TX 75839 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,4,,,polling_place,1ST BAPTIST CHURCH-SLOCUM,5875 E ST HWY 294 ELKHART TX 75839 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,15,,,polling_place,ANTIOCH BAPTIST CHURCH BOX 15,139 ANDERSON CR 389 PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,8,,,polling_place,ANTIOCH BAPTIST CHURCH BOX 8,907 E MURCHISON PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,24,,,polling_place,CAYUGA HIGH SCHOOL,17750 N US HWY 287 CAYUGA TX 75832 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,,,,early_vote,COURTHOUSE ANNEX 703 N MALLARD,"703 N MALLARD, STE 103A PALESTINE TX 75801 ",,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,17,,,polling_place,DAV POST,917 GARDNER PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,5,,,polling_place,DENSON SPRINGS COMM.,11460 E. ST. HWY 294 ELKHART TX 75839 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,16,,,polling_place,FIRST BAPTIST NECHES,200 ANDERSON NECHES TX 75779 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,18,,,polling_place,FRANKSTON COURTHOUSE ANNEX,320 S. COMMERCE FRANKSTON TX 75763 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,20,,,polling_place,FREEDOM FELLOWSHIP CHURCH,125 KICKAPOO ST PALESTINE TX 75803 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,10,,,polling_place,HARMONY BAPTIST CHURCH,8848 FM 645 PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,22,,,polling_place,MONTALBA COMM. CENTER,9590 N ST HWY 19 MONTALBA TX 75853 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,6,,,polling_place,NEW FELLOWSHIP CHRISTIAN CHRCH,1500 W REAGAN PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,21,,,polling_place,PALESTINE CIVIC CENTER,1819 W SPRING ST PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,1,,,polling_place,PALESTINE HIGH SCHOOL,1600 N LOOP 256 PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,13,,,polling_place,PISD ADMINISTRATION OFFICE,1007 E. PARK PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,23,,,polling_place,PISGAH BAPTIST CHURCH,11401 E FM 837 PALESTINE TX 75803 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,3,,,polling_place,SWANSON HILL COMMUNITY,3258 E. FM 323 PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,11,,,polling_place,TENN COLONY COMM CENTER,6900 W FM 321 TENN COLONY TX 75861 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,9,,,polling_place,TUCKER COMMUNITY CENTER,10621 S. US HWY 79 PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,7,,,polling_place,WASHINGTON ELEMENTARY,1020 W. HAMLETT ST. PALESTINE TX 75801 ,,website,2020-11-02,
2020-11-03,TX,ANDERSON,ANDERSON,county,19,,,polling_place,WESTWOOD JR. HIGH,1801 PANTHER BLVD. PALESTINE TX 75803 ,,website,2020-11-02,
2020-11-03,TX,ANDREWS,ANDREWS,county,,,,early_vote,AISD TAX OFFICE,600 N MAIN ANDREWS TX 79714 ,,website,2020-11-02,
2020-11-03,TX,ANDREWS,ANDREWS,county,,,,vote_center,AISD TAX OFFICE,600 N MAIN ANDREWS TX 79714 ,,website,2020-11-02,
2020-11-03,TX,ANDREWS,ANDREWS,county,,,,early_vote,JAMES ROBERTS,855 EAST BROADWAY ANDREWS ANDREWS TX 79714 ,,website,2020-11-02,
2020-11-03,TX,ANDREWS,ANDREWS,county,,,,vote_center,JAMES ROBERTS,855 EAST BROADWAY ANDREWS ANDREWS TX 79714 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,18,,,polling_place,ANGELINA COLLEGE,3500 S FIRST ST LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 34,,,polling_place,ANGELINA COLLEGE,3500 S FIRST ST LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,26,,,polling_place,BALD HILL BAPTIST CHURCH,128 LEON TILLMAN RD  LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,23,,,polling_place,BETHEL ASSEMBLY OF GOD,3863 TED TROUT DR LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 24,,,polling_place,BETHEL ASSEMBLY OF GOD,3863 TED TROUT DR LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,20,,,polling_place,BRANDON COMMUNITY CENTER,1612 KELTYS ST LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,15,,,polling_place,BURKE COMMUNITY CENTER,3770 TIDWELL RD DIBOLL TX 75941 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 38,,,polling_place,BURKE COMMUNITY CENTER,3770 TIDWELL RD DIBOLL TX 75941 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,36,,,polling_place,CHAMBERS PARK COMMUNITY CENTER,500 PERSHING AVE LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 5,,,polling_place,CHAMBERS PARK COMMUNITY CENTER,500 PERSHING AVE LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,19,,,polling_place,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,606 BENDING OAK LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 39,,,polling_place,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,606 BENDING OAK LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,,,,early_vote,CITY OF LUFKIN PARKS AND RECREATION BUILDING,516 MONTROSE ST LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,8,,,polling_place,CROSS ROAD BAPTIST CHURCH,5714 OLD UNION ROAD LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,10,,,polling_place,DENMAN AVE BAPTIST CHURCH,1807 E DENMAN AVE LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,2,,,polling_place,EMANUEL ASSEMBLY OF GOD,1818 N TIMBERLAND DR LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,27,,,polling_place,FAIRVIEW BAPTIST CHURCH,3742 FM 2108  LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 28,,,polling_place,FAIRVIEW BAPTIST CHURCH,3742 FM 2108  LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,,,,early_vote,FIRST BAPTIST CHURCH FAMILY LIFE CENTER,802 N. MAIN HUNTINGTON TX 75949 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,11B,,,polling_place,FIRST BAPTIST CHURCH FAMILY LIFE CENTER,802 N. MAIN HUNTINGTON TX 75949 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,13,,,polling_place,FIRST CHRISTIAN CHURCH,1300 S 1ST ST LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 9,,,polling_place,FIRST CHRISTIAN CHURCH,1300 S 1ST ST LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,30,,,polling_place,FIRST ORA MISSIONARY BAPTIST CHURCH,110 FAYE JONES RD HUNTINGTON TX 75949 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,12,,,polling_place,FULLER SPRINGS BAPTIST CHURCH,5003 FULLER SPRINGS DR LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 37,,,polling_place,FULLER SPRINGS BAPTIST CHURCH,5003 FULLER SPRINGS DR LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,35,,,polling_place,HARMONY HILL BAPTIST CHURCH,2708 S CHESTNUT DR LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,1,,,polling_place,LIFE GATE CHURCH GT  (GLAD TIDINGS),2511 E LUFKIN AVE LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,7,,,polling_place,LIFE POINT CHURCH,4737 TED TROUT DR LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,,,,early_vote,LOTTIE & ARTHUR TEMPLE CIVIC CENTER,601 DENNIS  DIBOLL TX 75941 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,16,,,polling_place,LOTTIE & ARTHUR TEMPLE CIVIC CENTER,601 DENNIS  DIBOLL TX 75941 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 31,,,polling_place,LOTTIE & ARTHUR TEMPLE CIVIC CENTER,601 DENNIS  DIBOLL TX 75941 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,3,,,polling_place,LUFKIN RESTORATION CENTER,5574 E HWY 103 LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,21,,,polling_place,LUFKIN SHRINE CLUB,3906 US HWY 69 NORTH LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,29,,,polling_place,O'QUINN BAPTIST CHURCH,7433 US HWY 69 NORTH POLLOK TX 75969 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county, 6,,,polling_place,O'QUINN BAPTIST CHURCH,7433 US HWY 69 NORTH POLLOK TX 75969 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,11,,,polling_place,OAK FLAT MISSIONARY BAPTIST CHURCH,3447 FM 2109 HUNTINGTON TX 75949 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,22,,,polling_place,POLLOK BAPTIST CHURCH,1053 PAUL TOWNSEND RD (HWY 7) POLLOK TX 75969 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,4,,,polling_place,REDLAND SCHOOL  ACE CAMPUS,1121 WINSTON 8 RANCH RD LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,33,,,polling_place,SALEM BAPTIST CHURCH,965 RALPH NERREN RD HUNTINGTON TX 75949 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,40,,,polling_place,SOUTHSIDE BAPTIST CHURCH,1615 TULANE DR LUFKIN TX 75901 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,14,,,polling_place,ST PAUL'S METHODIST CHURCH,1505 S. JOHN REDDITT DR LUFKIN TX 75904 ,,website,2020-11-02,
2020-11-03,TX,ANGELINA,ANGELINA,county,25,,,polling_place,WOODLAWN  BAPTIST CHURCH,4172 HWY 103 WEST LUFKIN TX 75904 ,,website,2020-11-02,
