election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2014-11-04,VT,,Addison,municipality,,Addison,,,Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Albany,municipality,,Albany,,,Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Alburgh,municipality,,Alburgh,,,Fire Station Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Andover,municipality,,Andover,,,Andover Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Arlington,municipality,,Arlington,,,Arlington Memorial High School,,,ORR,2019-09-19,
2014-11-04,VT,,Athens,municipality,,Athens,,,Athens Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Bakersfield,municipality,,Bakersfield,,,Bakersfield Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Baltimore,municipality,,Baltimore,,,Baltimore Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Barnard,municipality,,Barnard,,,Barnard Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Barnet,municipality,,Barnet,,,"Fire & Rescue Station, 151 Bimson Drive",,,ORR,2019-09-19,
2014-11-04,VT,,Barre City,municipality,,Barre City,,,Barre Civic Center Auditorium,,,ORR,2019-09-19,
2014-11-04,VT,,Barre Town,municipality,,Barre Town,,,Barre Town Elementary & Middle School,,,ORR,2019-09-19,
2014-11-04,VT,,Barton,municipality,,Barton,,,Lake Region Union High School,,,ORR,2019-09-19,
2014-11-04,VT,,Belvidere,municipality,,Belvidere,,,Belvidere Town Clerk's office,,,ORR,2019-09-19,
2014-11-04,VT,,Bennington,municipality,,Bennington 2-1 & 2-2,,,Bennington Fire House,,,ORR,2019-09-19,
2014-11-04,VT,,Bennington,municipality,,Bennington-North Bennington,,,North Bennington Trustee Office,,,ORR,2019-09-19,
2014-11-04,VT,,Benson,municipality,,Benson,,,Community Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Berkshire Town,municipality,,Berkshire Town,,,Berkshire Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Berlin,municipality,,Berlin,,,Berlin Municipal Office Building,,,ORR,2019-09-19,
2014-11-04,VT,,Bethel,municipality,,Bethel,,,Whitcomb High School ,,,ORR,2019-09-19,
2014-11-04,VT,,Bloomfield,municipality,,Bloomfield,,,The Old Bloomfield School,,,ORR,2019-09-19,
2014-11-04,VT,,Bolton,municipality,,Bolton,,,Smilie Memorial School,,,ORR,2019-09-19,
2014-11-04,VT,,Bradford,municipality,,Bradford,,,Bradford Academy,,,ORR,2019-09-19,
2014-11-04,VT,,Braintree,municipality,,Braintree,,,Braintree Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Brandon,municipality,,Brandon,,,Neshobe Elementary School,,,ORR,2019-09-19,
2014-11-04,VT,,Brattleboro,municipality,,Brattleboro,,,Municipal Center (230 Main St.) ,,,ORR,2019-09-19,
2014-11-04,VT,,Bridgewater,municipality,,Bridgewater,,,Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Bridport,municipality,,Bridport,,,Community/Masonic Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Brighton,municipality,,Brighton,,,Brighton Town Hall Gym,,,ORR,2019-09-19,
2014-11-04,VT,,Bristol,municipality,,Bristol,,,Holley Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Brookfield,municipality,,Brookfield,,,Elementary School,,,ORR,2019-09-19,
2014-11-04,VT,,Brookline,municipality,,Brookline,,,Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Brownington,municipality,,Brownington,,,Brownington Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Brunswick,municipality,,Brunswick,,,Community Office Bldg.,,,ORR,2019-09-19,
2014-11-04,VT,,Burke,municipality,,Burke,,,Town Community Building,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 1,,,Mater Christi School,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 2,,,H.C. Wheeler School,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 3,,,Lawrence Barnes School,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 4,,,St. Mark's Youth Center,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 5,,,Burlington Electric Department,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 6,,,Edmunds Middle School,,,ORR,2019-09-19,
2014-11-04,VT,,Burlington,municipality,,Burlington - Ward 7,,,Robert Miller Rec Center,,,ORR,2019-09-19,
2014-11-04,VT,,Cabot,municipality,,Cabot,,,Willey Memorial Building,,,ORR,2019-09-19,
2014-11-04,VT,,Calais,municipality,,Calais,,,Calais Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Cambridge,municipality,,Cambridge,,,Cambridge Memorial Gymnasium,,,ORR,2019-09-19,
2014-11-04,VT,,Canaan,municipality,,Canaan,,,Canaan Community Office Building,,,ORR,2019-09-19,
2014-11-04,VT,,Castleton,municipality,,Castleton,,,American Legion Post #50 (378 Route 4a West),,,ORR,2019-09-19,
2014-11-04,VT,,Cavendish,municipality,,Cavendish,,,Cavendish Town Elementary School,,,ORR,2019-09-19,
2014-11-04,VT,,Charleston,municipality,,Charleston,,,Charleston Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Charlotte,municipality,,Charlotte,,,Central School Multi-Purpose Room,,,ORR,2019-09-19,
2014-11-04,VT,,Chelsea,municipality,,Chelsea,,,Orange/Chelsea Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Chester,municipality,,Chester,,,"Chester Town Hall, Second Floor",,,ORR,2019-09-19,
2014-11-04,VT,,Chittenden,municipality,,Chittenden,,,Chittenden Municipal Offices,,,ORR,2019-09-19,
2014-11-04,VT,,Clarendon,municipality,,Clarendon,,,Clarendon Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Colchester,municipality,,Colchester-Chit-9-1,,,Colchester Meeting House,,,ORR,2019-09-19,
2014-11-04,VT,,Colchester,municipality,,Colchester-Chit- 9-2,,,Colchester High School,,,ORR,2019-09-19,
2014-11-04,VT,,Concord,municipality,,Concord,,,Concord Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Corinth,municipality,,Corinth,,,Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Cornwall,municipality,,Cornwall,,,Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Coventry,municipality,,Coventry,,,Community Center,,,ORR,2019-09-19,
2014-11-04,VT,,Danby,municipality,,Danby,,,Municipal Office ,,,ORR,2019-09-19,
2014-11-04,VT,,Danville,municipality,,Danville,,,Danville Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Derby,municipality,,Derby,,,Derby Municipal Building,,,ORR,2019-09-19,
2014-11-04,VT,,Dorset,municipality,,Dorset,,,The Dorset School,,,ORR,2019-09-19,
2014-11-04,VT,,Dover,municipality,,Dover,,,Dover Town Hall (East Dover),,,ORR,2019-09-19,
2014-11-04,VT,,Dummerston,municipality,,Dummerston,,,Dummerston Center Congregational Church,,,ORR,2019-09-19,
2014-11-04,VT,,Duxbury,municipality,,Duxbury,,,Crossett Brook Middle School,,,ORR,2019-09-19,
2014-11-04,VT,,East Haven,municipality,,East Haven,,,Community Building  ,,,ORR,2019-09-19,
2014-11-04,VT,,East Montpelier,municipality,,East Montpelier,,,Elementary School,,,ORR,2019-09-19,
2014-11-04,VT,,Eden,municipality,,Eden,,,Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Elmore,municipality,,Elmore,,,Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Enosburg,municipality,,Enosburg,,,Emergency Services Building,,,ORR,2019-09-19,
2014-11-04,VT,,Essex,municipality,,Essex - Chit 8-1 and 8-3,,,Essex Middle School,,,ORR,2019-09-19,
2014-11-04,VT,,Essex,municipality,,Essex - Chit 8-2,,,Essex High School,,,ORR,2019-09-19,
2014-11-04,VT,,Fair Haven,municipality,,Fair Haven,,,American Legion Post #49,,,ORR,2019-09-19,
2014-11-04,VT,,Fairfax,municipality,,Fairfax,,,Fairfax Town Office,,,ORR,2019-09-19,
2014-11-04,VT,,Fairfield,municipality,,Fairfield,,,Municipal Bldg,,,ORR,2019-09-19,
2014-11-04,VT,,Fairlee,municipality,,Fairlee,,,Fairlee Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Fayston,municipality,,Fayston,,,Fayston Municipal Offices,,,ORR,2019-09-19,
2014-11-04,VT,,Ferrisburgh,municipality,,Ferrisburgh,,,Ferrisburgh Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Fletcher,municipality,,Fletcher,,,Fletcher Town Office (215 Cambridge Rd),,,ORR,2019-09-19,
2014-11-04,VT,,Franklin,municipality,,Franklin,,,Franklin Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Georgia,municipality,,Georgia,,,Georgia Elementary & Middle School,,,ORR,2019-09-19,
2014-11-04,VT,,Glover,municipality,,Glover,,,Glover Town Clerk's Office,,,ORR,2019-09-19,
2014-11-04,VT,,Goshen,municipality,,Goshen,,,Goshen Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Grafton,municipality,,Grafton,,,Grafton Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Granby,municipality,,Granby,,,Granby Town Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Grand Isle,municipality,,Grand Isle,,,9 Hyde Road,,,ORR,2019-09-19,
2014-11-04,VT,,Granville,municipality,,Granville,,,Granville Town Halll,,,ORR,2019-09-19,
2014-11-04,VT,,Greensboro,municipality,,Greensboro,,,Greensboro Town Clerks Office,,,ORR,2019-09-19,
2014-11-04,VT,,Groton,municipality,,Groton,,,Groton Community Building Gym,,,ORR,2019-09-19,
2014-11-04,VT,,Guildhall,municipality,,Guildhall,,,The Guild Hall,,,ORR,2019-09-19,
2014-11-04,VT,,Guilford,municipality,,Guilford,,,Broad Brook Grange,,,ORR,2019-09-19,
2014-11-04,VT,,Halifax,municipality,,Halifax,,,Multipurpose Room,,,ORR,2019-09-19,
2014-11-04,VT,,Hancock,municipality,,Hancock,,,Town Hall,,,ORR,2019-09-19,
