FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
51,2012-11-06,polling_location,DINWIDDIE COUNTY MIDDLE SCHOOL,11608 Courthouse Road Dinwiddie VA 238412434,401 - DINWIDDIE
51,2012-11-06,polling_location,CENTREVILLE UNITED METH CHURCH,6400 Old Centreville Rd Centreville VA 201212628,925 - OLD MILL
51,2012-11-06,polling_location,DICKENSON COUNTY COURTHOUSE,293 Clintwood Main Street Clintwood VA 24228,503 - NORTH CLINTWOOD
51,2012-11-06,polling_location,OAK VIEW ELEMENTARY SCHOOL,5004 Sideburn Rd Fairfax VA 220322636,120 - SIDEBURN
51,2012-11-06,polling_location,LORTON LIBRARY,9520 Richmond Hwy Lorton VA 220792124,617 - LORTON
51,2012-11-06,polling_location,ARROWHEAD ELEMENTARY SCHOOL,5549 Susquehanna Dr Virginia Beach VA 234624034,023 - ARROWHEAD
51,2012-11-06,polling_location,ROBINSON SEC SCHOOL,5035 Sideburn Rd Fairfax VA 220322637,123 - ROBINSON
51,2012-11-06,polling_location,CLINCHCO ELEMENTARY SCHOOL,198 Cardinal St Clinchco VA 242268692,203 - CLINCHCO
51,2012-11-06,polling_location,FIRE TRAINING SCHOOL,1018 Middle School Cir South Boston VA 245924942,403 - CENTER
51,2012-11-06,polling_location,CHANCELLOR HIGH SCHOOL,6300 Harrison Rd Fredericksburg VA 224076363,603 - PIEDMONT
51,2012-11-06,polling_location,FAIRVIEW ELEMENTARY SCHOOL,5815 Ox Rd Fairfax Station VA 220391430,105 - FAIRVIEW
51,2012-11-06,polling_location,LAKE ANNE ELEMENTARY SCHOOL,11510 N Shore Dr Reston VA 201904316,208 - RESTON #1
51,2012-11-06,polling_location,RACHEL CARSON MIDDLE SCHOOL,13618 MCLEAREN ROAD HERNDON VA 20171,931 - CARSON
51,2012-11-06,polling_location,GAINESVILLE MIDDLE SCHOOL,8001 Limestone Drive Gainesville VA 20155,105 - LIMESTONE
51,2012-11-06,polling_location,ERVINTON ELEMENTARY SCHOOL,195 Ervinton Circle Nora VA 24272,201 - NORA
51,2012-11-06,polling_location,METZ JUNIOR HIGH SCHOOL,9950 Wellington Rd Manassas VA 201105787,003 - METZ
51,2012-11-06,polling_location,KINGS GLEN ELEMENTARY SCHOOL,5401 DANBURY FOREST DR SPRINGFIELD VA 22151,133 - DANBURY
51,2012-11-06,polling_location,SOUTH COUNTY MIDDLE SCHOOL,8700 LAUREL CREST LORTON VA 22079,629 - SOUTH COUNTY
51,2012-11-06,polling_location,NANCY F SPRAGUE TECH CENTER,4414 Holborn Ave Annandale VA 220034551,104 - CHAPEL
51,2012-11-06,polling_location,EAST SUFFOLK RECREATION CENTER,138 S 6TH STREET SUFFOLK VA 23434,605 - HOLLYWOOD
51,2012-11-06,polling_location,CITY HALL EAST,701 N 25th St Richmond VA 232236539,707 - SEVEN HUNDRED SEVEN
51,2012-11-06,polling_location,MIDWAY ELEMENTARY SCHOOL,5511 Midway Rd Church Road VA 238333310,103 - CHURCH ROAD
51,2012-11-06,polling_location,RENAN VOLUNTEER FIRE DEPT,405 STRAIGHTSTONE ROAD GRETNA VA 24557,503 - RENAN
51,2012-11-06,polling_location,KECOUGHTAN HIGH SCHOOL,522 Woodland Rd Hampton VA 236691762,117 - KECOUGHTAN
51,2012-11-06,polling_location,JAMES MOORE TERMINAL BUILDING,1450 AVIATION ROAD TAPPAHANNOCK VA 22560,401 - CENTRAL
51,2012-11-06,polling_location,PLAZA ANNEX,641 Carriage Hill Road Virginia Beach VA 23452,077 - BROOKWOOD
51,2012-11-06,polling_location,HAYSI HIGH SCHOOL,196 Tiger Circle Haysi VA 24256,402 - HAYSI
51,2012-11-06,polling_location,ROCKY MOUNT ELEMENTARY SCHOOL,555 School Board Rd Rocky Mount VA 241518604,203 - HODGESVILLE
51,2012-11-06,polling_location,ALBERT H HILL SCHOOL,3400 Patterson Ave Richmond VA 232212310,113 - ONE HUNDRED THIRTEEN
51,2012-11-06,polling_location,EPHESUS BAPTIST CHURCH,287 EPHESUS CHURCH ROAD Dunnsville VA 22454,301 - SOUTH
51,2012-11-06,polling_location,First Evangelical Methodist Church,1920 Lucas Street Salem VA 241535939,009 - SOUTH SIDE HILLS
51,2012-11-06,polling_location,PORT NORFOLK RECREATION CENTER,432 BROAD STREET PORTSMOUTH VA 237072003,010 - TEN
51,2012-11-06,polling_location,BRADDOCK ELEMENTARY SCHOOL,7825 Heritage Dr Annandale VA 220035312,106 - HERITAGE
51,2012-11-06,polling_location,WASHINGTON MILL ELEM SCHOOL,9100 Cherrytree Dr Alexandria VA 223092933,613 - WESTGATE
51,2012-11-06,polling_location,LITTLE RUN ELEMENTARY SCHOOL,4511 OLLEY LANE Fairfax VA 22032,109 - LITTLE RUN
51,2012-11-06,polling_location,Melfa Firehouse,28328 Hatton St Melfa VA 234103707,802 - MELFA
51,2012-11-06,polling_location,FT BLACKMORE ELMENTARY SCHOOL,214 BIG STONEY CREEK RD Ft Blackmore VA 24250,502 - FORT BLACKMORE
51,2012-11-06,polling_location,ARTRIP,5956 The Lake Road CLINTWOOD VA 24228,502 - ARTRIP
51,2012-11-06,polling_location,HICKSFORD POLLING PLACE,1775 Dry Bread Rd Emporia VA 238475700,201 - PRECINCT 2-A
51,2012-11-06,polling_location,CUNNINGHAM PARK ELEM SCHOOL,1001 Park St SE Vienna VA 221806606,213 - VIENNA #1
51,2012-11-06,polling_location,KINGS PARK ELEMENTARY SCHOOL,5400 Harrow Way Springfield VA 221511327,108 - KINGS PARK
51,2012-11-06,polling_location,C HUNTER RITCHIE ELEMENTARY SCHOOL,4416 Broad Run Church Rd Warrenton VA 201872535,504 - VINT HILL
51,2012-11-06,polling_location,NEIGHBORHOOD RESOURCE CENTER,2315 Victoria Blvd Hampton VA 236612935,109 - PHENIX
51,2012-11-06,polling_location,COVENTRY ELEMENTARY SCHOOL,200 Owen Davis Blvd Yorktown VA 236934519,201 - COVENTRY
51,2012-11-06,polling_location,FOREST EDGE ELEMENTARY SCHOOL,1501 Becontree Ln Reston VA 201904001,209 - RESTON #2
51,2012-11-06,polling_location,ANTIOCH BAPTIST CHURCH,454 LLOYDS ROAD Champlain VA 22438,201 - NORTH
51,2012-11-06,polling_location,GUNSTON ELEMENTARY SCHOOL,10100 Gunston Rd Lorton VA 220792208,616 - GUNSTON
51,2012-11-06,polling_location,GREAT BRIDGE UNITED METHODIST CHURCH,201 Stadium Dr Chesapeake VA 233224135,043 - PLEASANT CROSSING
51,2012-11-06,polling_location,N SPRINGFIELD ELEM SCHOOL,7602 Heming Ct Springfield VA 221512618,110 - NORTH SPRINGFIELD
51,2012-11-06,polling_location,POWELL VALLEY PRIMARY SCHOOL,2945 2nd Ave E Big Stone Gap VA 242193801,302 - EAST STONE GAP
51,2012-11-06,polling_location,A R E BUILDING,67TH AND ATLANTIC AVENUE VIRGINIA BEACH VA 23451,011 - CAPE HENRY
51,2012-11-06,polling_location,CHILDREY BAPTIST CHURCH,1224 CHILDREY CHURCH ROAD Nathalie VA 24577,101 - CHILDREY
51,2012-11-06,polling_location,Sutherland Elementary School,6000 R B Pamplin Drive Sutherland VA 23885,202 - SUTHERLAND
51,2012-11-06,polling_location,RIVER OAK CHURCH,255 Great Bridge Blvd. Chesapeake VA 23320,058 - EXPRESSWAY
51,2012-11-06,polling_location,TAPPAHANNOCK-ESSEX VOL FIRE DEPT,620 AIRPORT ROAD TAPPAHANNOCK VA 22560,101 - GREATER TAPPAHANNOCK
51,2012-11-06,polling_location,PENHOOK METHODIST CHURCH,29 Morgans Fork Rd Penhook VA 241371111,202 - PENHOOK
51,2012-11-06,polling_location,BRUSHY RIDGE COMMUNITY CENTER,5562 Brushy Ridge Road Nora VA 24272,301 - WEST DANTE
51,2012-11-06,polling_location,WOODBROOK ELEMENTARY SCHOOL,100 Woodbrook Dr Charlottesville VA 229011133,101 - WOODBROOK
51,2012-11-06,polling_location,FAIRVIEW CHRISTIAN CHURCH,2701 Campbell Ave Lynchburg VA 245014303,204 - SECOND WARD FOURTH PRECINCT
51,2012-11-06,polling_location,CARDINAL FOREST ELEM SCHOOL,8600 Forrester Blvd Springfield VA 221521012,128 - CARDINAL
51,2012-11-06,polling_location,STUART HIGH SCHOOL,3301 Peace Valley Ln Falls Church VA 220441508,511 - RAVENWOOD
51,2012-11-06,polling_location,COMMONS COMMUNITY CENTER,5701 ROBERTS PARKWAY Burke VA 22015,127 - BURKE CENTRE
51,2012-11-06,polling_location,PROVIDENCE ELEMENTARY SCHOOL,4968 Providence Rd Virginia Beach VA 234645629,068 - MANOR
51,2012-11-06,polling_location,HOPE HAVEN,3000 North Landing Road Virginia Beach VA 23456,088 - NORTH LANDING
51,2012-11-06,polling_location,ERVINTON HIGH SCHOOL,123 Rebel Dr Nora VA 242727018,302 - HERALD
51,2012-11-06,polling_location,MOTLEY COMMUNITY CENTER,597 Jasper Wood Rd Hurt VA 245633736,502 - MOTLEY SYCAMORE
51,2012-11-06,polling_location,LEBANON ELEMENTARY SCHOOL,5435 GEORGE BEN WHITED DR LEBANON VA 24266,501 - WEST LEBANON
51,2012-11-06,polling_location,CLINTWOOD HIGH SCHOOL,141 Greenwave Cir Clintwood VA 242287009,101 - SOUTH CLINTWOOD
51,2012-11-06,polling_location,LAKE BRADDOCK SEC SCHOOL,9200 Burke Lake Rd Burke VA 220151682,125 - SIGNAL HILL
51,2012-11-06,polling_location,Salem Baptist Church,24032 Sparta Rd Sparta VA 22552,102 - SPARTA
51,2012-11-06,polling_location,OLD SULPHUR SPRINGS SCHOOL,3123 Frying Pan Road Birchleaf VA 24220,202 - FRYING PAN
51,2012-11-06,polling_location,FAIRFAX COUNTY GOVERNMENT CTR,12000 Government Center Pkwy Rm 2 Fairfax VA 220350001,132 - MONUMENT
51,2012-11-06,polling_location,KINGSTOWNE LIBRARY,6500 Landsdowne Ctr Alexandria VA 223155011,619 - BELVOIR
51,2012-11-06,polling_location,BONNIE BRAE ELEMENTARY SCHOOL,5420 Sideburn Rd Fairfax VA 220323716,126 - BONNIE BRAE
51,2012-11-06,polling_location,MADISON HIGH SCHOOL,2500 JAMES MADISON DRIVE VIENNA VA 22180,204 - MADISON
51,2012-11-06,polling_location,MANAKIN EPISCOPAL CHURCH,985 Huguenot Trl Midlothian VA 231139224,102 - MANAKIN
51,2012-11-06,polling_location,FORKS OF RIVER COMMUNITY CTR,27002 Smiths Ferry Rd Franklin VA 238515104,701 - BLACKWATER RIVER
51,2012-11-06,polling_location,KEENE MILL ELEMENTARY SCHOOL,6310 Bardu Ave Springfield VA 221521921,129 - KEENE MILL
51,2012-11-06,polling_location,MACK BENN JR ELEMENTARY SCHOOL,1253 NANSEMOND PARKWAY SUFFOLK VA 23434,604 - WILROY
51,2012-11-06,polling_location,THREE OAKS ELEMENTARY SCHOOL,2201 Elson Green Ave Virginia Beach VA 234566769,085 - UPTON
51,2012-11-06,polling_location,FAIRFAX VILLA ELEM SCHOOL,10900 Santa Clara Dr Fairfax VA 220305386,121 - VILLA
51,2012-11-06,polling_location,EMMANUEL EPISCOPAL CHURCH,9668 Maidstone Rd Delaplane VA 201442211,402 - LEEDS
51,2012-11-06,polling_location,E A GIBSON MAGNET SCHOOL,1215 Industrial Ave Danville VA 245413145,014 - WARD FOURTEEN
51,2012-11-06,polling_location,FIRE ENGINE HOUSE,411 Commerce Rd Richmond VA 232245411,609 - SIX HUNDRED NINE
51,2012-11-06,polling_location,RAVENSWORTH ELEMENTARY SCHOOL,5411 Nutting Dr Springfield VA 221512006,115 - RAVENSWORTH
51,2012-11-06,polling_location,SALVATION ARMY,400 BANK STREET Suffolk VA 23434,602 - OLDE TOWNE
51,2012-11-06,polling_location,WAKEFIELD FOREST ELEM SCHOOL,4011 Iva Ln Fairfax VA 220321502,116 - WAKEFIELD
51,2012-11-06,polling_location,GLEN LEA ELEMENTARY SCHOOL,3909 Austin Ave Richmond VA 232221701,209 - GLEN LEA
51,2012-11-06,polling_location,ROHOIC ELEMENTARY SCHOOL,23312 Airport Street Petersburg VA 23803,201 - ROHOIC
51,2012-11-06,polling_location,SANDLICK ELEMENTARY SCHOOL,186 Anderson Lane Birchleaf VA 242207706,401 - COLLEY
51,2012-11-06,polling_location,RICHARD BLAND BARN THEATER,11301 Johnson Rd Petersburg VA 238057100,101 - RICHARD BLAND
51,2012-11-06,polling_location,SHERWOOD FOREST REC CENTER,4537 Little John Dr Norfolk VA 235133759,311 - SHERWOOD
51,2012-11-06,polling_location,LAKE BRADDOCK SEC SCHOOL,9200 Burke Lake Rd Burke VA 220151682,118 - LAKE BRADDOCK
51,2012-11-06,polling_location,INDIAN LAKES ELEMENTARY SCHOOL,1240 Homestead Dr Virginia Beach VA 234645714,078 - INDIAN LAKES
51,2012-11-06,polling_location,FLORIS ELEMENTARY SCHOOL,2708 Centreville Rd Herndon VA 201713512,203 - FLORIS
51,2012-11-06,polling_location,CAROLINE HIGH SCHOOL,19155 Rogers Clark Blvd Ruther Glen VA 225464009,501 - WEST MATTAPONI
51,2012-11-06,polling_location,GEO WASHINGTON CARVER SCHOOL,1110 W Leigh St Richmond VA 232203142,213 - TWO HUNDRED THIRTEEN
51,2012-11-06,polling_location,GMU-UNIVERSITY HALL,4441 GEORGE MASON BLVD FAIRFAX VA 22030,134 - UNIVERSITY
51,2012-11-06,polling_location,BROOKE POINT HIGH SCHOOL,1700 Courthouse Rd Stafford VA 225545409,403 - BROOKE
51,2012-11-06,polling_location,LAUREL RIDGE ELEMENTARY SCHOOL,10110 Commonwealth Blvd Fairfax VA 220322704,119 - LAUREL
51,2012-11-06,polling_location,HIGHLAND SPRINGS HIGH SCHOOL,15 S Oak Ave Highland Springs VA 230751709,508 - HIGHLAND SPRINGS
51,2012-11-06,polling_location,CAPRON TOWN HALL,22688 Main St Capron VA 238292543,301 - CAPRON
51,2012-11-06,polling_location,ROCKY RUN RURITAN BLDG,14929 Glebe Rd Dewitt VA 238402407,102 - ROCKY RUN
51,2012-11-06,polling_location,SCOTTISH RITE TEMPLE,3401 Cedar Ln Portsmouth VA 237033801,036 - THIRTY-SIX
51,2012-11-06,polling_location,SWORDS CREEK ELEMENTARY SCHOOL,3867 SWORDS CREEK RD SWORDS CREEK VA 24649,402 - SWORDS CREEK
51,2012-11-06,polling_location,EAGLE VIEW ELEMENTARY SCHOOL,4500 Dixie Hill Road Fairfax VA 22030,131 - EAGLE VIEW
51,2012-11-06,polling_location,LIVING SAVIOR LUTHERAN CHURCH,5500 Ox Rd Fairfax Station VA 220391020,841 - POPES HEAD
51,2012-11-06,polling_location,COLONIAL BEACH TOWN CENTER,22 Washington Ave Colonial Beach VA 224432337,501 - PRECINCT 5-1
51,2012-11-06,polling_location,CHRIST EPISCOPAL CHURCH,132 W Boscawen Street Winchester VA 22601,102 - OLD TOWN
51,2012-11-06,polling_location,WOODSON HIGH SCHOOL,9525 Main St Fairfax VA 220314006,117 - WOODSON
51,2012-11-06,polling_location,VOTING BUILDING,119 Omaha Sunset Road Clintwood VA 24228,303 - RIDGE
51,2012-11-06,polling_location,CEDAR LEE MIDDLE SCHOOL,11138 Marsh Rd Bealeton VA 227129360,303 - BEALETON
51,2012-11-06,polling_location,SPORTSMAN ASSOCIATION INC BLDG,1431 South St Franklin VA 238512141,401 - PRECINCT 4-1
51,2012-11-06,polling_location,SKYLINE HIGH SCHOOL,151 Skyline Vista Dr Front Royal VA 226302150,501 - SOUTH RIVER
51,2012-11-06,polling_location,NAMOZINE FIRE DEPT,3913 Pelham Ave Petersburg VA 238036669,501 - EDGEHILL
51,2012-11-06,polling_location,TERRA CENTRE ELEMENTARY SCHOOL,6000 Burke Centre Pkwy Burke VA 220153701,130 - TERRA CENTRE
51,2012-11-06,polling_location,BAILEY'S COMMUNITY CENTER,5920 Summers Ln Falls Church VA 220411634,501 - BAILEYS
51,2012-11-06,polling_location,UNION BETHEL BAPTIST CHURCH,1817 Jolliff Rd Chesapeake VA 233211407,019 - JOLLIFF
51,2012-11-06,polling_location,DIAMOND HILL HUNT CLUB,12249 Wilson Rd Blackstone VA 238249382,101 - WHITE OAK
51,2012-11-06,polling_location,INDEPENDENCE MIDDLE SCHOOL,1370 Dunstan Ln Virginia Beach VA 234554965,018 - THOROUGHGOOD
51,2012-11-06,polling_location,WISE MIDDLE SCHOOL,324 MODOC AVENUE WISE VA 24293,202 - WISE
51,2012-11-06,polling_location,LONGS FORK ELEMENTARY SCHOOL,1280 Browning Holw Clintwood VA 242286074,304 - LONGS FORK
51,2012-11-06,polling_location,FAIRFAX CIRCLE BAPTIST CHURCH,3110 CHICHESTER LANE Fairfax VA 22031,707 - MANTUA
51,2012-11-06,polling_location,SVCC - CHARLES R KING CENTER,295 Community College Rd Cedar Bluff VA 24609,303 - WARDELL
51,2012-11-06,polling_location,OAK GROVE CHURCH,12715 Acorn Dr Petersburg VA 238059682,301 - REAMS
51,2012-11-06,polling_location,LAUREL AVE CHURCH OF CHRIST,1126 Laurel Ave Chesapeake VA 233253018,022 - NORFOLK HIGHLANDS
51,2012-11-06,polling_location,CANTERBURY WOODS ELEM SCHOOL,4910 Willet Dr Annandale VA 220033953,113 - CANTERBURY
51,2012-11-06,polling_location,WARRENTON PRESBYTERIAN CHURCH,91 Main St Warrenton VA 201863422,201 - COURTHOUSE
51,2012-11-06,polling_location,GREAT BRIDGE MIDDLE SCHOOL,441 S. Battlefield Blvd. Chesapeake VA 23322,063 - POPLAR BRANCH
