election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0101,101 - CHINCOTEAGUE,,,CHINCOTEAGUE CENTER,6155 Community Dr,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0201,201 - ATLANTIC,,,ATLANTIC FIRE HOUSE,10071 Atlantic Rd,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0202,202 - GREENBACKVILLE,,,GREENBACKVILLE VOL. FIRE DEPT.,1468 Ellis Street,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0301,301 - NEW CHURCH,,,NEW CHURCH FIRE & RESCUE Co.,4264 Firehouse Street,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0401,401 - BLOXOM,,,BLOXOM FIRE HOUSE BANQUET HALL,15312 BAYSIDE DRIVE,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0402,402 - PARKSLEY,,,PARKSLEY FIRE HOUSE,18443 DUNNE AVENUE,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0403,403 - SAXIS,,,SAXIS FIRE HOUSE,8337 FREE SCHOOL LANE,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0501,501 - MAPPSVILLE,,,KEGOTANK ELEMENTARY SCHOOL,13300 Lankford Hwy,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0502,502 - RUE,,,METOMPKIN ELEMENTARY SCHOOL,24501 Parksley Rd,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0601,601 - ACCOMAC,,,Elk's Lodge,22454 Front St,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0602,602 - TANGIER,,,TANGIER COMBINED SCHOOL,4375 SCHOOL LANE,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0701,701 - NANDUA,,,NANDUA MIDDLE SCHOOL,20330 Warrior Dr,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0801,801 - BOBTOWN,,,PUNGOTEAGUE ELEMENTARY SCHOOL,28480 Bobtown Rd,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0802,802 - MELFA,,,MELFA FIREHOUSE,28328 Hatton St,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0803,803 - WACHAPREAGUE,,,Wachapreague Firehouse,1 High ST,,ORR,2019-10-22,
2018-11-06,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,0901,901 - PAINTER,,,PAINTER FIRE HOUSE,17116 Wayside Dr,,ORR,2019-10-22,
2018-11-06,VA,ALBEMARLE COUNTY,ALBEMARLE COUNTY,county,0101,101 - WOODBROOK,,,WOODBROOK ELEMENTARY SCHOOL,100 Woodbrook Dr,,ORR,2019-10-22,
2018-11-06,VA,ALBEMARLE COUNTY,ALBEMARLE COUNTY,county,0103,103 - BRANCHLANDS,,,SENIOR CENTER,491 Hillsdale Drive,,ORR,2019-10-22,
2018-11-06,VA,ALBEMARLE COUNTY,ALBEMARLE COUNTY,county,0104,104 - AGNOR-HURT,,,AGNOR-HURT ELEMENTARY SCHOOL,3201 Berkmar Dr,,ORR,2019-10-22,
2018-11-06,VA,ALBEMARLE COUNTY,ALBEMARLE COUNTY,county,0105,105 - DUNLORA,,,CATEC,1000 Rio Rd E,,ORR,2019-10-22,
