election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,WV,Barbour,Barbour,county,1,,,polling_place,JUNIOR ELEMENTARY SCHOOL,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,2,,,polling_place,BELINGTON FIRE DEPARTMENT,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,3,,,polling_place,BELINGTON ELEMENTARY SCHOOL,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,4,,,polling_place,BARBOUR COUNTY FAIRGROUNDS,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,5,,,polling_place,PHILIP BARBOUR HIGH SCHOOL,"US ROUTE250, PHILIPPI, WV 26416",,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,6,,,polling_place,UNION COMMUNITY BUILDING,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,7,,,polling_place,BARBOUR COUNTY COURTHOUSE,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,8,,,polling_place,TACY COMMUNITY BUILDING,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,9,,,polling_place,ARDEN CLEMTOWN AREA COMMUNITY CENTER,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,10,,,polling_place,KASSON MIDDLE SCHOOL,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,11,,,polling_place,THORNHILLS FLORIST,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,12,,,polling_place,VOLGA SCHOOL,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,13,,,polling_place,PHILIPPI ELEMENTARY SCHOOL,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,14,,,polling_place,BRUSHY FORK COMMUNITY BLDG,,,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,15,,,polling_place,A-B COLLEGE AUXILIARY GYM,"COLLEGE HILL ROAD, PHILIPPI, WV 26416",,ORR,2019-09-24,
2012-11-06,WV,Barbour,Barbour,county,16,,,polling_place,MT VERNON ELEMENTARY SCHOOL,,,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,1,,,polling_place,SAINT LUKE'S UNITED METHODIST,"700 NEW YORK AVENUE, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,2,,,polling_place,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,5,,,polling_place,MARTINSBURG HIGH SCHOOL,"701 S QUEEN STREET, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,6,,,polling_place,SOUTH MIDDLE SCHOOL,"150 BULLDOG BLVD, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,7,,,polling_place,BURKE STREET SCHOOL,"422 W BURKE STREET, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,8,,,polling_place,RAMER SCHOOL,"515 WEST MARTIN STREET, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,9,,,polling_place,AMBROSE TOWERS,"703 PORTER AVENUE, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,10,,,polling_place,TUSCARORA ELEMENTARY  SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,11,,,polling_place,ROSEMONT ELEMENTARY SCHOOL,"301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,12,,,polling_place,BEDINGTON FIRE STATION (MAIN),"775 BEDINGTON ROAD, MARTINSBURG, WV 25404",,ORR,2019-09-24,
2012-11-06,WV,Berkeley,Berkeley,county,13,,,polling_place,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404",,ORR,2019-09-24,
