election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,WV,BARBOUR,BARBOUR,county,1,,,election_day,JUNIOR ELEMENTARY SCHOOL,"49 WATKINS ST, BELINGTON, WV 26250",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,2,,,election_day,BELINGTON FIRE DEPARTMENT,"301, BELINGTON, WV 26250",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,3,,,election_day,BELINGTON ELEMENTARY SCHOOL,"471 MORGANTOWN PIKE, BELINGTON, WV 26250",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,4,,,election_day,BARBOUR COUNTY FAIRGROUNDS,"118 FAIRGROUNDS WAY, BELINGTON, WV 26250",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,5,,,election_day,PHILIP BARBOUR HIGH SCHOOL,"99 HORSESHOE DR, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,6,,,election_day,UNION COMMUNITY BUILDING,"30 BURNER RD, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,7,,,election_day,BARBOUR COUNTY COURTHOUSE,"26 N MAIN ST, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,8,,,election_day,TACY COMMUNITY BUILDING,"288 TACY RD, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,9,,,election_day,ARDEN-CLEMTOWN COMMUNITY CENTER,"3923 ARDEN RD, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,10,,,election_day,KASSON SCHOOL,"19 KASSON RD, MOATSVILLE, WV 26405",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,11,,,election_day,PHILIPPI MIDDLE SCHOOL,"611 CHERRY HILL RD, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,12,,,election_day,VOLGA-CENTURY COMMUNITY CENTER,"84 GILL ST, CENTURY, WV 26201",,ORR,2020-10-21,
2020-11-03,WV,BARBOUR,BARBOUR,county,13,,,election_day,PHILIPPI ELEMENTARY SCHOOL,"547 CHERRY HILL RD, PHILIPPI, WV 26416",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,1,,,election_day,SAINT LUKE'S UNITED METHODIST,"700 NEW YORK AVENUE, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,2,,,election_day,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,5,,,election_day,MARTINSBURG HIGH SCHOOL,"701 S QUEEN STREET, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,6,,,election_day,SOUTH MIDDLE SCHOOL,"150 BULLDOG BLVD, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,7,,,election_day,BURKE STREET SCHOOL,"422 W BURKE STREET, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,8,,,election_day,ROSEMONT GRACE BRETHREN CHURCH,"117 S. ILLINOIS AVE, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,9,,,election_day,AMBROSE TOWERS,"703 PORTER AVENUE, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,10,,,election_day,TUSCARORA ELEMENTARY SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,11,,,election_day,ROSEMONT ELEMENTARY SCHOOL,"301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,12,,,election_day,BEDINGTON FIRE STATION (MAIN),"775 BEDINGTON ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,13,,,election_day,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,14,,,election_day,BERKELEY SENIOR CENTER,"217 N HIGH STREET, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,15,,,election_day,OPEQUON ELEMENTARY SCHOOL,"395 EAST ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,16,,,election_day,NORTH MIDDLE SCHOOL,"250 EAST ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,17,,,election_day,OTTERBEIN UNITED METHODIST,"549 NORTH QUEEN STREET, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,18,,,election_day,EAGLE SCHOOL INTERMEDIATE,"730 EAGLE SCHOOL ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,19,,,election_day,POTOMACK INTERMEDIATE SCHOOL,"5308 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,20,,,election_day,MARLOWE ELEMENTARY SCHOOL,"9580 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,21,,,election_day,BEDINGTON ELEMENTARY SCHOOL,"149 BEDINGTON ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,22,,,election_day,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,23,,,election_day,POTOMACK INTERMEDIATE SCHOOL,"5308 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,24,,,election_day,BERKELEY HEIGHTS ELEMENTARY SCHOOL,"726 HACK WILSON WAY, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,25,,,election_day,TUSCARORA ELEMENTARY SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,26,,,election_day,DEPT OF HEALTH & HUMAN SERVICE,"433 MIDATLANTIC CENTER, MARTINSBURG, WV 25404",,ORR,2020-10-21,
2020-11-03,WV,BERKELEY,BERKELEY,county,27,,,election_day,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,
