election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,WI,Adams,Adams | CITY OF ADAMS,county_municipality,4,CITY OF ADAMS - Ward 4,,,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | CITY OF ADAMS,county_municipality,2,CITY OF ADAMS - Ward 2,,,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | CITY OF ADAMS,county_municipality,3,CITY OF ADAMS - Ward 3,,,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | CITY OF ADAMS,county_municipality,1,CITY OF ADAMS - Ward 1,,,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | CITY OF WISCONSIN DELLS,county_municipality,5,CITY OF WISCONSIN DELLS - Ward 5,,,WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISC DELLS, WI 53965-1568",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | CITY OF WISCONSIN DELLS,county_municipality,9,CITY OF WISCONSIN DELLS - Ward 9,,,WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISC DELLS, WI 53965-1568",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF ADAMS,county_municipality,2,TOWN OF ADAMS - Ward 2,,,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF ADAMS,county_municipality,3,TOWN OF ADAMS - Ward 3,,,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF ADAMS,county_municipality,1,TOWN OF ADAMS - Ward 1,,,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF BIG FLATS,county_municipality,2,TOWN OF BIG FLATS - Ward 2,,,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF BIG FLATS,county_municipality,1,TOWN OF BIG FLATS - Ward 1,,,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF COLBURN,county_municipality,1,TOWN OF COLBURN - Ward 1,,,COLBURN TOWN HALL,"198 COUNTY ROAD C, HANCOCK, WI 54943",,ORR,2020-01-12,
2016-11-08,WI,Adams,Adams | TOWN OF DELL PRAIRIE,county_municipality,2,TOWN OF DELL PRAIRIE - Ward 2,,,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISC DELLS, WI 53965-8981",,ORR,2020-01-12,
